WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.52,09-20-2019,16:00:00,0.00,1005.31,7.4,31.0,33.52,250,2.00,75,26.0,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.71,09-20-2019,16:00:00,3.70,1005.50,0.0,30.8,33.39,000,17.00,75,25.9,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.37,09-20-2019,16:00:00,0.00,1005.81,14.8,30.4,29.98,210,81.50,69,24.1,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,994.33,09-20-2019,16:00:00,1.60,1005.56,0.0,28.5,30.98,000,28.90,80,24.6,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.60,09-20-2019,16:00:00,0.00,1005.59,0.0,33.2,33.80,000,47.00,66,26.1,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.74,09-20-2019,16:00:00,0.00,1005.54,0.0,30.0,31.72,000,15.80,75,25.0,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.30,09-20-2019,16:00:00,0.00,1005.05,3.7,33.2,29.66,040,0.70,58,23.9,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.38,09-20-2019,16:00:00,0.01,1006.08,5.6,31.3,29.52,220,0.40,65,23.8,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.95,09-20-2019,16:00:00,0.00,1005.64,0.0,32.6,32.49,000,38.20,66,25.4,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.96,09-20-2019,16:00:00,5.50,1006.05,3.7,27.6,32.00,190,10.80,87,25.2,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.89,09-20-2019,16:00:00,1.30,1006.64,0.0,26.3,31.13,000,64.40,91,24.7,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.68,09-20-2019,16:00:00,2.80,1007.17,0.0,26.0,30.84,000,93.70,92,24.6,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.42,09-20-2019,16:00:00,0.01,1006.08,0.0,29.5,31.00,000,2.20,75,24.6,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.06,09-20-2019,16:00:00,34.20,1006.65,3.7,24.4,28.45,200,34.20,93,23.2,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,986.05,09-20-2019,16:00:00,2.40,1006.52,3.7,28.2,29.85,210,2.80,78,24.0,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.17,09-20-2019,16:00:00,0.40,1008.11,9.3,25.4,32.42,160,16.40,100,25.4,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.43,09-20-2019,16:00:00,0.80,1005.86,11.1,29.1,32.75,200,6.40,81,25.6,8.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.17,09-20-2019,16:00:00,0.00,1005.57,0.0,29.8,32.46,000,2.10,77,25.4,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.84,09-20-2019,16:00:00,0.80,1006.79,3.7,25.9,30.92,120,2.90,93,24.6,8.00
