WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-12-2019,19:00:00,76,000,1010.72,0.0,24.3,0.20,29.0,34.0,0.00,10.00,30.29,1002.74
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-12-2019,19:00:00,66,000,1008.80,0.0,23.8,0.00,31.0,34.7,0.00,10.00,29.48,1008.52
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-12-2019,19:00:00,71,250,1009.36,5.6,23.7,0.00,29.5,32.2,0.00,10.00,29.33,1006.25
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-12-2019,19:00:00,67,240,1009.70,9.3,22.9,0.00,29.6,33.0,0.00,10.00,27.88,1002.81
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-12-2019,19:00:00,72,000,1009.27,0.0,24.4,15.50,30.0,33.5,0.00,8.00,30.59,1003.72
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-12-2019,19:00:00,69,270,1010.37,9.3,23.6,0.00,30.0,37.0,0.00,10.00,29.19,1001.12
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-12-2019,19:00:00,85,000,1010.36,0.0,25.1,0.50,28.0,33.9,0.00,10.00,31.95,1009.10
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-12-2019,19:00:00,77,230,1009.59,9.3,24.9,1.20,29.5,34.4,0.01,11.00,31.56,1009.16
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-12-2019,19:00:00,64,000,1010.26,0.0,21.4,0.00,28.9,35.1,0.00,8.00,25.54,998.04
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-12-2019,19:00:00,74,000,1009.84,0.0,24.1,0.00,29.3,31.8,0.00,10.00,30.04,1009.13
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-12-2019,19:00:00,54,270,1009.99,3.7,21.0,0.00,31.3,34.7,0.00,10.00,24.88,1007.58
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-12-2019,19:00:00,78,260,1009.72,9.3,25.2,0.20,29.5,31.7,0.00,10.00,32.13,1009.20
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-12-2019,19:00:00,54,230,1009.58,3.7,20.5,0.00,31.0,35.3,0.00,10.00,24.07,1004.48
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-12-2019,19:00:00,80,210,1009.39,5.6,25.4,16.90,29.2,34.0,0.00,8.00,32.38,1008.98
