WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindSpeed,VaporPressure,WindDirection,LandVisibility,Rainfall24Hr
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.26,07-12-2019,22:00:00,24.2,0.01,1010.63,95,23.3,0.0,28.62,000,7.00,0.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.23,07-12-2019,22:00:00,24.5,0.00,1008.71,91,23.0,0.0,28.11,000,10.00,0.10
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.11,07-12-2019,22:00:00,25.0,0.00,1010.74,95,24.1,0.0,30.05,000,8.00,0.50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.11,07-12-2019,22:00:00,27.0,0.00,1010.22,90,25.1,0.0,31.94,000,10.00,0.10
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.14,07-12-2019,22:00:00,26.0,0.00,1008.55,92,24.6,0.0,30.84,000,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.40,07-12-2019,22:00:00,29.7,0.00,1010.97,74,24.6,5.6,30.83,150,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.96,07-12-2019,22:00:00,26.5,0.00,1009.96,91,24.9,0.0,31.52,000,9.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.36,07-12-2019,22:00:00,25.4,0.00,1011.54,92,24.1,5.6,29.99,080,10.00,0.01
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.41,07-12-2019,22:00:00,24.5,0.00,1010.58,96,23.8,0.0,29.41,000,10.00,9.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.18,07-12-2019,22:00:00,25.0,0.00,1011.42,88,22.8,3.7,27.70,210,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.18,07-12-2019,22:00:00,23.7,0.00,1008.12,95,22.8,0.0,27.75,000,9.00,1.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.89,07-12-2019,22:00:00,24.2,0.00,1011.19,91,22.6,0.0,27.34,000,10.00,9.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.03,07-12-2019,22:00:00,24.0,0.00,1010.90,97,23.4,0.0,28.78,000,10.00,22.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.20,07-12-2019,22:00:00,24.7,0.00,1009.24,95,23.8,0.0,29.51,000,10.00,19.50
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.86,07-12-2019,22:00:00,23.8,0.00,1011.16,93,22.6,0.0,27.42,000,7.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1012.49,07-12-2019,22:00:00,23.5,0.00,1008.30,96,22.8,0.0,27.66,000,7.00,0.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.68,07-12-2019,22:00:00,25.0,0.00,1011.09,89,23.1,0.0,28.22,000,10.00,0.00
