WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,RelativeHumidity,VaporPressure,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.3,07-08-2019,19:00:00,10.00,65,28.62,0.00,30.7,14.8,0.00,1007.57,1006.17,34.1,260
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.8,07-08-2019,19:00:00,10.00,78,31.33,0.00,29.1,16.7,0.00,1007.70,1006.04,31.4,220
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.3,07-08-2019,19:00:00,10.00,71,30.31,0.00,30.0,0.0,0.00,1009.52,1001.57,33.2,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.1,07-08-2019,19:00:00,10.00,79,33.88,0.00,30.2,0.0,0.00,1007.25,1006.97,34.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.2,07-08-2019,19:00:00,10.00,85,33.99,0.00,29.0,5.6,0.00,1007.51,1004.39,32.6,240
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.9,07-08-2019,19:00:00,10.00,72,27.97,0.00,28.5,0.0,0.00,1007.78,1000.87,32.3,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.8,07-08-2019,19:00:00,7.00,78,31.21,0.00,28.9,0.0,0.00,1007.70,1002.13,34.8,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.4,07-08-2019,19:00:00,10.00,73,30.47,0.00,29.8,0.0,0.00,1007.47,998.24,32.1,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.8,07-08-2019,19:00:00,10.00,78,31.21,0.00,28.9,7.4,0.00,1008.59,1007.33,33.3,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.8,07-08-2019,19:00:00,11.00,67,27.80,0.00,29.7,7.4,0.00,1007.58,1007.15,34.5,150
