WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-07-2019,01:00:00,290,1.20,1008.14,0.00,9.3,26.95,10.00,27.5,22.3,73,1007.44
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-07-2019,01:00:00,300,2.60,1007.74,0.00,3.7,32.61,7.00,27.2,25.5,90,1007.04
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-07-2019,01:00:00,270,0.01,1007.22,0.00,5.6,29.60,10.00,26.2,23.9,87,986.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-07-2019,01:00:00,000,0.30,1007.05,0.00,0.0,31.58,7.00,27.1,24.9,88,990.34
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-07-2019,01:00:00,230,0.00,1007.77,0.00,5.6,30.97,6.00,26.5,24.6,89,991.30
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-07-2019,01:00:00,000,0.01,1007.41,0.00,0.0,28.80,10.00,26.2,23.4,85,985.49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-07-2019,01:00:00,220,5.50,1007.97,0.00,7.4,25.43,10.00,24.7,21.4,82,964.37
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-07-2019,01:00:00,200,0.00,1007.09,0.00,3.7,30.59,8.00,26.3,24.4,89,986.49
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-07-2019,01:00:00,230,0.00,1008.32,0.00,13.0,33.23,9.00,26.1,25.8,98,987.42
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-07-2019,01:00:00,000,1.60,1008.22,0.00,0.0,29.48,10.00,27.0,23.8,83,1007.78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-07-2019,01:00:00,000,4.40,1007.75,0.00,0.0,31.55,6.00,25.8,24.9,95,1006.33
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-07-2019,01:00:00,000,2.40,1007.95,0.00,0.0,32.12,7.00,26.1,25.2,95,1003.00
