WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,RelativeHumidity,LandVisibility,Rainfall,DewPoint,MeanSeaLevelPressure
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.70,08-17-2019,22:00:00,991.67,0.0,29.36,25.2,000,92,10.00,0.80,23.7,1007.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,08-17-2019,22:00:00,988.21,3.7,29.93,27.1,180,84,7.00,0.01,24.1,1007.09
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,12.30,08-17-2019,22:00:00,957.55,0.0,27.17,24.1,000,91,5.00,2.30,22.5,1009.14
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.60,08-17-2019,22:00:00,1004.71,7.4,31.71,25.6,090,97,4.00,1.00,25.0,1008.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.10,08-17-2019,22:00:00,914.32,9.3,24.45,21.2,220,97,.70,0.70,20.7,1009.77
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,14.50,08-17-2019,22:00:00,992.11,0.0,30.75,24.8,000,98,6.00,12.30,24.5,1008.23
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-17-2019,22:00:00,1005.22,0.0,30.86,27.3,000,85,10.00,0.01,24.6,1009.26
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.01,08-17-2019,22:00:00,999.32,0.0,31.08,26.7,000,89,6.00,0.00,24.7,1010.04
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-17-2019,22:00:00,1007.87,3.7,29.60,27.5,180,81,9.00,0.00,23.9,1009.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-17-2019,22:00:00,987.23,9.3,28.37,29.0,290,71,10.00,0.00,23.2,1007.97
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,71.30,08-17-2019,22:00:00,990.30,0.0,30.52,25.4,000,94,10.00,0.10,24.4,1008.08
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-17-2019,22:00:00,991.81,7.4,31.55,25.8,180,95,10.00,0.10,24.9,1008.05
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,8.30,08-17-2019,22:00:00,995.61,0.0,31.99,26.6,000,92,10.00,0.00,25.2,1009.70
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.60,08-17-2019,22:00:00,995.34,0.0,32.04,26.2,000,94,9.00,0.00,25.2,1010.26
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-17-2019,22:00:00,995.04,0.0,31.94,27.0,000,90,10.00,0.00,25.1,1009.74
