WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,WindSpeed
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.4,09-23-2019,16:00:00,1003.67,0.00,9.01,20.7,0.00,24.48,1010.83,000,45,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.0,09-23-2019,16:00:00,991.87,0.00,8.00,19.3,0.00,22.43,1011.45,090,45,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,31.4,09-23-2019,16:00:00,983.21,0.00,14.00,17.5,0.00,19.94,1011.55,120,43,11.1
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.2,09-23-2019,16:00:00,992.22,0.00,10.00,18.9,0.00,21.80,1012.13,080,45,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.0,09-23-2019,16:00:00,990.60,0.00,8.00,22.4,0.00,27.01,1012.21,000,64,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.6,09-23-2019,16:00:00,992.76,0.00,15.00,21.2,0.00,25.19,1012.10,160,57,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.7,09-23-2019,16:00:00,996.04,0.00,11.00,18.9,0.00,21.76,1012.67,080,49,13.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.5,09-23-2019,16:00:00,995.55,0.00,10.00,22.4,0.00,27.14,1012.85,000,62,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.7,09-23-2019,16:00:00,981.91,0.00,9.00,18.9,0.00,21.76,1007.37,080,49,11.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.7,09-23-2019,16:00:00,1004.97,4.50,12.00,23.8,0.00,29.50,1010.67,000,60,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.5,09-23-2019,16:00:00,1004.52,0.00,10.00,23.4,0.00,28.81,1010.62,140,59,9.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,33.8,09-23-2019,16:00:00,995.15,0.00,12.00,18.3,0.00,21.00,1011.29,000,40,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,31.7,09-23-2019,16:00:00,986.45,0.00,10.00,20.1,0.00,23.50,1008.46,090,50,13.0
