WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,WindDirection,VaporPressure,DewPoint
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,34.50,09-04-2019,13:00:00,985.31,0.60,1002.94,11.00,11.1,26.3,87,240,29.78,24.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,36.80,09-04-2019,13:00:00,986.73,0.50,1002.87,10.00,9.3,26.1,92,240,31.03,24.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,143.90,09-04-2019,13:00:00,990.02,24.00,1004.15,8.00,11.1,24.0,96,210,28.53,23.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,144.70,09-04-2019,13:00:00,989.52,23.70,1004.47,6.00,5.6,23.8,97,210,28.69,23.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,147.30,09-04-2019,13:00:00,990.14,5.40,1004.89,5.00,7.4,24.8,99,210,31.02,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.30,09-04-2019,13:00:00,1002.43,0.00,1005.39,10.00,0.0,31.9,65,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.73,24.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.30,09-04-2019,13:00:00,996.74,0.00,1004.57,10.00,0.0,30.8,70,000,31.06,24.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1.40,09-04-2019,13:00:00,1006.04,0.00,1007.12,8.00,5.6,32.5,67,250,32.58,25.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,90.00,09-04-2019,13:00:00,989.92,1.20,1004.62,5.00,0.0,26.0,96,000,32.20,25.3
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,35.80,09-04-2019,13:00:00,872.06,0.40,1006.96,.05,14.8,19.7,100,280,22.93,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,6.20,09-04-2019,13:00:00,999.29,0.20,1005.09,10.00,0.0,30.4,72,000,31.11,24.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.40,09-04-2019,13:00:00,1005.39,0.00,1006.18,8.00,0.0,31.0,66,000,29.48,23.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.90,09-04-2019,13:00:00,1005.98,0.00,1006.42,10.00,14.8,29.0,77,230,30.85,24.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,15.80,09-04-2019,13:00:00,996.58,2.00,1007.89,3.00,0.0,27.0,88,000,31.38,24.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.90,09-04-2019,13:00:00,1005.04,0.00,1006.04,12.00,11.1,30.8,72,200,31.93,25.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.40,09-04-2019,13:00:00,1003.77,0.00,1005.56,9.00,5.6,32.0,63,230,29.79,24.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.50,09-04-2019,13:00:00,1005.32,0.30,1006.08,8.00,3.7,29.0,75,230,30.01,24.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,09-04-2019,13:00:00,1006.06,0.00,1006.76,10.00,13.0,29.2,73,210,29.57,23.9
