WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,AirTemperature,WindSpeed,LandVisibility,VaporPressure,Rainfall,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,83,07-11-2019,22:00:00,1010.24,28.6,0.0,10.00,32.30,0.00,000,25.3,1010.95,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,77,07-11-2019,22:00:00,1009.09,28.6,7.4,10.00,30.07,0.00,180,24.1,1011.53,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,07-11-2019,22:00:00,1010.72,29.0,5.6,12.00,31.13,0.00,230,24.7,1011.23,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,73,07-11-2019,22:00:00,1006.16,28.8,1.9,10.00,29.08,0.00,170,23.6,1011.30,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,81,07-11-2019,22:00:00,1011.20,28.0,0.0,7.00,30.56,0.00,000,24.4,1011.61,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,90,07-11-2019,22:00:00,1009.16,26.0,0.0,8.00,30.30,0.00,000,24.3,1011.96,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,76,07-11-2019,22:00:00,1010.84,29.0,3.7,10.00,30.29,0.00,300,24.3,1011.62,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,93,07-11-2019,22:00:00,1011.47,25.7,3.7,6.00,30.54,0.00,090,24.4,1011.94,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,76,07-11-2019,22:00:00,1011.32,28.6,0.0,8.00,29.79,0.00,000,24.0,1012.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,82,07-11-2019,22:00:00,1008.99,27.8,0.0,8.00,30.72,0.00,000,24.5,1010.52,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,85,07-11-2019,22:00:00,1011.38,27.3,3.7,10.00,30.86,0.00,020,24.6,1012.30,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,86,07-11-2019,22:00:00,1011.34,29.6,9.3,10.00,35.56,0.00,140,27.0,1012.03,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,88,07-11-2019,22:00:00,1011.30,27.3,0.0,9.00,31.97,0.00,000,25.2,1012.10,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,95,07-11-2019,22:00:00,1011.00,24.7,0.0,10.00,29.51,0.00,000,23.8,1011.64,1.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,95,07-11-2019,22:00:00,1011.59,24.0,0.0,10.00,28.27,0.00,000,23.1,1012.00,4.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,91,07-11-2019,22:00:00,1009.49,26.8,0.0,6.00,32.10,0.00,000,25.2,1013.73,1.20
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,93,07-11-2019,22:00:00,1009.21,25.8,0.0,10.00,31.00,0.00,000,24.6,1010.83,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,96,07-11-2019,22:00:00,1008.25,25.0,0.0,7.00,30.32,0.00,000,24.3,1011.76,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,88,07-11-2019,22:00:00,1010.69,25.7,0.0,8.00,28.95,0.00,000,23.5,1012.06,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,80,07-11-2019,22:00:00,1010.67,28.6,0.0,10.00,31.46,0.00,000,24.9,1011.55,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,90,07-11-2019,22:00:00,1008.37,26.5,0.0,10.00,31.24,0.00,000,24.8,1011.95,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,75,07-11-2019,22:00:00,1010.64,29.0,0.0,10.00,30.01,0.00,000,24.1,1011.07,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,90,07-11-2019,22:00:00,1010.30,27.5,0.0,10.00,33.21,0.00,000,25.8,1011.29,8.30
