WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall24Hr,MinimumTemperature,LandVisibility,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,MeanSeaLevelPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,10-05-2019,07:00:00,22.2,29.20,22.0,7.00,000,21.1,975.83,0.0,25.05,0.00,1011.98
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,99,10-05-2019,07:00:00,22.1,0.50,21.8,2.00,000,21.9,981.48,0.0,26.34,0.00,1011.75
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,92,10-05-2019,07:00:00,23.9,7.90,23.6,7.00,000,22.6,1004.04,0.0,27.34,0.00,1011.45
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,95,10-05-2019,07:00:00,24.3,0.00,23.9,3.00,000,23.4,991.80,0.0,28.79,0.00,1011.96
48353,LOEI,เลย,เลย,17.45000,101.73333,95,10-05-2019,07:00:00,22.5,1.20,22.3,2.00,330,21.7,982.79,5.6,26.01,0.00,1011.97
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,96,10-05-2019,07:00:00,23.3,6.10,22.7,8.00,000,22.5,991.58,0.0,27.33,0.00,1012.09
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,93,10-05-2019,07:00:00,23.0,0.00,22.2,6.00,000,21.8,990.72,0.0,26.09,0.00,1012.85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,10-05-2019,07:00:00,24.2,0.00,22.8,10.00,170,22.7,992.67,3.7,27.60,0.00,1012.43
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,91,10-05-2019,07:00:00,24.5,0.01,22.0,10.00,000,22.9,996.02,0.0,27.86,0.00,1013.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,10-05-2019,07:00:00,24.0,0.50,21.9,8.00,000,23.3,995.46,0.0,28.53,0.00,1013.14
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,97,10-05-2019,07:00:00,22.5,6.20,22.3,8.00,260,22.0,985.30,5.6,26.50,0.00,1011.56
