WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-13-2019,19:00:00,35.7,33.47,10.00,000,1008.55,1009.23,0.0,25.9,0.00,0.00,30.7,76
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-13-2019,19:00:00,34.3,32.84,10.00,000,1008.97,1009.76,0.0,25.6,15.60,0.01,27.6,89
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-13-2019,19:00:00,35.7,30.63,10.00,000,1008.50,1009.13,0.0,24.4,0.00,0.00,29.6,74
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-13-2019,19:00:00,36.9,32.01,10.00,000,1008.74,1009.14,0.0,25.2,0.00,0.00,30.0,75
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-13-2019,19:00:00,34.3,31.72,6.00,000,1006.92,1011.10,0.0,25.0,0.01,0.00,30.0,75
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-13-2019,19:00:00,33.8,28.78,8.00,000,1007.74,1009.34,0.0,23.4,0.00,0.00,28.5,74
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-13-2019,19:00:00,34.2,32.71,10.00,000,1005.71,1009.16,0.0,25.5,0.20,0.00,29.5,79
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-13-2019,19:00:00,34.4,33.88,8.00,000,1006.87,1008.22,0.0,26.1,1.80,0.00,30.2,79
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-13-2019,19:00:00,31.6,30.23,10.00,240,1008.74,1009.62,5.6,24.2,5.50,0.10,28.4,78
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-13-2019,19:00:00,33.1,30.96,10.00,000,1005.97,1009.51,0.0,24.6,0.00,0.00,29.2,76
