WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,WindDirection,Rainfall,StationPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.22,08-26-2019,16:00:00,25.6,0.70,10.00,27.7,0.0,88,32.76,000,0.70,975.92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1002.33,08-26-2019,16:00:00,23.9,0.10,12.00,29.2,0.0,73,29.57,000,0.00,969.26
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1001.95,08-26-2019,16:00:00,25.4,0.00,12.00,33.0,9.3,65,32.46,270,0.00,983.93
48331,NAN,น่าน,น่าน,18.77972,100.77778,1001.77,08-26-2019,16:00:00,25.1,4.50,10.00,32.4,0.0,65,31.77,000,0.00,979.51
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1001.87,08-26-2019,16:00:00,22.6,3.20,12.00,31.8,0.0,58,27.43,000,0.00,972.67
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.09,08-26-2019,16:00:00,25.2,12.00,8.00,28.5,0.0,83,32.10,000,0.01,967.99
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.95,08-26-2019,16:00:00,25.4,1.60,16.00,29.4,9.3,79,32.50,140,0.00,972.68
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.51,08-26-2019,16:00:00,24.9,0.00,10.00,32.0,0.0,66,31.52,000,0.00,995.36
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.89,08-26-2019,16:00:00,25.3,85.60,15.00,26.2,3.7,95,32.32,230,9.40,983.04
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.92,08-26-2019,16:00:00,24.6,1.20,15.00,29.7,9.3,74,30.83,150,0.00,974.67
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.12,08-26-2019,16:00:00,24.7,49.80,8.00,26.7,0.0,89,31.08,000,7.40,983.02
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1003.29,08-26-2019,16:00:00,25.2,13.80,15.00,28.9,3.7,81,32.06,130,0.01,981.80
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1002.87,08-26-2019,16:00:00,25.0,27.20,9.00,27.6,5.6,86,31.72,180,0.01,983.51
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1003.58,08-26-2019,16:00:00,25.3,52.70,10.00,27.7,3.7,87,32.20,230,7.90,986.94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1003.91,08-26-2019,16:00:00,25.1,28.10,10.00,28.0,0.0,85,31.95,000,0.40,986.62
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.47,08-26-2019,16:00:00,24.3,13.60,12.00,26.6,0.0,87,30.34,000,0.00,976.79
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.16,08-26-2019,16:00:00,26.2,4.10,10.00,33.2,3.7,67,34.10,180,0.00,996.52
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.66,08-26-2019,16:00:00,26.0,5.80,12.00,33.0,5.6,67,33.66,150,0.00,996.62
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.91,08-26-2019,16:00:00,25.2,2.30,10.00,29.5,0.0,78,32.13,000,1.30,987.66
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.74,08-26-2019,16:00:00,24.1,18.20,8.00,26.4,5.6,87,29.97,210,2.10,981.46
48376,TAK,ตาก,ตาก,16.87833,99.14333,1003.73,08-26-2019,16:00:00,22.7,0.00,10.00,31.0,16.7,61,27.54,170,0.00,989.58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1002.58,08-26-2019,16:00:00,23.2,0.00,12.00,34.0,0.0,53,28.43,000,0.00,986.64
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.43,08-26-2019,16:00:00,24.1,4.20,10.00,29.0,5.6,75,30.01,190,0.00,998.26
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1001.96,08-26-2019,16:00:00,25.3,2.00,12.00,31.2,3.7,71,32.18,190,0.00,989.01
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.91,08-26-2019,16:00:00,24.9,1.20,13.00,31.8,1.9,67,31.39,120,0.00,993.77
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.11,08-26-2019,16:00:00,25.2,4.40,10.00,30.0,5.6,75,32.01,210,0.01,981.73
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1002.49,08-26-2019,16:00:00,23.2,8.80,12.00,30.5,11.1,65,28.50,220,0.00,985.27
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1002.61,08-26-2019,16:00:00,27.0,56.60,12.00,27.7,3.7,96,35.65,250,1.50,986.88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.16,08-26-2019,16:00:00,24.1,2.70,10.00,30.3,3.7,70,30.06,190,0.00,983.57
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.13,08-26-2019,16:00:00,21.7,16.70,10.00,27.2,0.0,72,25.90,000,0.00,955.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.54,08-26-2019,16:00:00,25.1,2.60,3.00,27.1,18.5,89,31.85,270,1.90,999.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.74,08-26-2019,16:00:00,20.8,7.80,6.00,23.7,18.5,84,24.54,250,0.01,910.53
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.52,08-26-2019,16:00:00,25.7,70.50,6.00,27.0,0.0,93,33.06,000,1.20,987.59
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.46,08-26-2019,16:00:00,25.5,6.10,10.00,32.0,5.6,69,32.69,180,0.00,999.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.63,08-26-2019,16:00:00,24.4,0.70,10.00,31.0,9.3,68,30.61,160,0.00,994.12
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.55,08-26-2019,16:00:00,24.8,0.00,9.00,32.2,7.4,65,31.35,180,0.00,1001.66
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.45,08-26-2019,16:00:00,22.7,3.90,10.00,30.0,3.7,65,27.55,260,0.00,982.87
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1002.94,08-26-2019,16:00:00,25.5,112.00,11.00,28.8,0.0,83,32.71,000,0.01,985.46
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.85,08-26-2019,16:00:00,24.6,106.80,10.00,29.5,7.4,75,31.00,200,0.00,986.89
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.10,08-26-2019,16:00:00,23.8,7.30,10.00,29.4,5.6,72,29.41,240,0.00,990.21
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.36,08-26-2019,16:00:00,25.3,7.70,10.00,30.0,5.6,76,32.30,150,0.00,989.71
