WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,08-06-2019,13:00:00,24.4,1004.75,270,30.47,988.20,1.9,1.10,73,1.10,29.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,08-06-2019,13:00:00,23.4,1005.23,220,28.78,987.95,5.6,1.50,74,3.00,28.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,13.00,08-06-2019,13:00:00,24.5,1003.42,240,30.65,978.17,3.7,0.00,64,5.50,32.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,08-06-2019,13:00:00,26.1,1005.50,000,33.88,999.78,0.0,0.00,79,15.30,30.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-06-2019,13:00:00,25.8,1005.23,000,33.17,999.12,0.0,0.00,78,22.60,30.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-06-2019,13:00:00,23.8,1005.51,000,29.47,989.35,0.0,0.00,63,2.20,31.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-06-2019,13:00:00,23.8,1004.38,000,29.50,982.05,0.0,2.70,88,30.30,26.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,08-06-2019,13:00:00,25.1,1005.73,000,31.81,991.47,0.0,0.20,79,6.80,29.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,6.00,08-06-2019,13:00:00,25.0,1005.26,000,31.71,988.89,0.0,2.50,91,12.40,26.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-06-2019,13:00:00,24.3,1005.53,200,30.45,1000.38,5.6,0.00,67,2.60,31.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-06-2019,13:00:00,25.9,1004.02,000,33.43,991.04,0.0,0.00,74,6.50,31.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-06-2019,13:00:00,24.9,1005.26,200,31.39,996.06,3.7,0.00,72,4.20,30.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-06-2019,13:00:00,22.3,1004.05,050,26.89,982.84,7.4,0.00,54,0.01,32.8
