WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,MinimumTemperature,RelativeHumidity,LandVisibility
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-04-2019,07:00:00,1010.79,23.5,25.0,0.0,000,989.71,0.00,29.00,0.00,24.5,92,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-04-2019,07:00:00,1011.20,25.1,26.5,0.0,000,993.43,0.00,31.79,0.00,24.9,92,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-04-2019,07:00:00,1010.78,25.8,26.5,0.0,000,994.53,0.00,33.19,0.00,26.1,96,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-04-2019,07:00:00,1012.05,23.0,25.1,0.0,000,997.85,0.50,28.14,0.50,24.4,88,9.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-04-2019,07:00:00,1012.87,22.4,24.3,3.7,130,997.82,0.00,27.01,0.00,23.2,89,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-04-2019,07:00:00,1012.19,25.2,25.5,0.0,000,997.37,19.10,32.07,0.00,24.5,98,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-04-2019,07:00:00,1010.69,24.6,25.8,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.65,0.00,31.00,0.00,24.9,93,6.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-04-2019,07:00:00,1010.83,24.2,25.9,0.0,000,1002.82,0.00,30.11,0.00,25.3,90,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-04-2019,07:00:00,{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'unit': 'hPa'}},0.00,{'@attributes': {'Unit': 'mb'}},0.00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'km'}}
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-04-2019,07:00:00,1011.56,24.4,25.6,0.0,000,996.74,0.00,30.63,0.00,24.5,93,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-04-2019,07:00:00,1012.60,19.3,19.5,0.0,000,876.86,11.60,22.42,0.00,17.8,99,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-04-2019,07:00:00,1011.26,24.4,24.8,0.0,000,1005.31,26.60,30.48,0.00,23.8,97,2.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-04-2019,07:00:00,1010.81,24.4,26.0,1.9,170,1010.00,15.10,30.57,0.00,24.5,91,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-04-2019,07:00:00,1010.67,25.1,26.7,0.0,000,1010.22,3.40,31.91,0.00,26.7,91,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-04-2019,07:00:00,1011.18,24.0,24.7,0.0,000,999.74,0.00,29.77,0.00,24.5,96,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-04-2019,07:00:00,1010.85,24.0,25.6,0.0,000,1009.83,0.00,29.82,0.00,25.2,91,7.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-04-2019,07:00:00,1010.78,23.5,26.0,0.0,000,1008.95,0.00,28.97,0.00,25.5,86,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-04-2019,07:00:00,1010.74,23.7,24.1,0.0,000,1009.96,0.00,29.22,0.00,23.1,97,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-04-2019,07:00:00,1010.97,25.0,26.7,9.3,090,1010.27,0.00,31.63,0.00,25.2,90,7.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-04-2019,07:00:00,1010.61,24.8,27.1,0.0,000,1009.90,0.00,31.30,0.00,26.3,87,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-04-2019,07:00:00,1011.27,23.6,24.8,0.0,000,989.88,0.40,29.16,0.00,24.0,93,7.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-04-2019,07:00:00,1011.34,25.0,25.6,0.0,000,994.47,0.90,31.71,0.90,24.2,97,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-04-2019,07:00:00,1012.15,24.8,25.5,0.0,000,995.56,27.10,31.25,0.10,23.9,96,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-04-2019,07:00:00,1010.91,23.5,25.0,0.0,000,988.83,0.00,29.00,0.00,24.5,92,4.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-04-2019,07:00:00,1011.55,22.4,23.0,5.6,070,967.55,0.30,27.07,0.00,21.5,96,2.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-04-2019,07:00:00,1011.03,25.1,25.7,3.7,150,990.30,0.20,31.90,0.00,24.7,97,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-04-2019,07:00:00,1012.65,25.7,25.7,5.6,160,991.63,0.00,33.01,0.00,24.5,100,4.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-04-2019,07:00:00,1010.40,23.7,25.2,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.96,0.00,29.36,0.00,24.6,92,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-04-2019,07:00:00,1010.80,24.2,24.9,0.0,000,1009.37,8.20,30.13,0.00,24.5,96,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-04-2019,07:00:00,1010.66,25.2,25.5,0.0,000,1005.69,1.10,32.07,0.00,24.9,98,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-04-2019,07:00:00,1010.70,23.5,25.1,3.7,250,1007.38,1.80,28.92,0.00,22.3,91,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-04-2019,07:00:00,1010.90,24.0,24.6,0.0,000,1009.78,0.00,29.85,0.00,23.5,97,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-04-2019,07:00:00,1010.65,24.9,27.1,0.0,000,1010.34,0.00,31.58,0.00,26.5,88,10.00
