WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,StationPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.00,07-23-2019,10:00:00,25.0,28.3,990.89,0.0,9.00,1005.49,82,000,31.70,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-23-2019,10:00:00,20.3,20.6,873.63,13.0,2.00,1008.33,98,210,23.78,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-23-2019,10:00:00,25.5,32.5,1001.60,5.6,10.00,1007.38,67,230,32.58,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-23-2019,10:00:00,26.7,32.0,1007.75,7.4,9.00,1008.54,74,240,35.09,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-23-2019,10:00:00,24.8,32.2,1008.42,11.1,10.00,1008.86,65,230,31.35,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.20,07-23-2019,10:00:00,25.5,28.3,997.54,0.0,7.00,1008.81,85,000,32.55,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-23-2019,10:00:00,25.2,30.7,1006.46,13.0,12.00,1007.46,72,210,32.01,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.01,07-23-2019,10:00:00,24.0,30.5,1005.98,3.7,9.00,1007.78,68,200,29.89,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-23-2019,10:00:00,22.5,31.6,1006.65,14.8,8.00,1007.40,59,230,27.32,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-23-2019,10:00:00,23.9,32.9,1007.83,14.8,10.00,1008.52,59,220,29.62,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-23-2019,10:00:00,25.9,32.3,1007.42,0.0,7.00,1008.11,69,000,33.34,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,07-23-2019,10:00:00,24.7,31.4,986.36,9.3,8.00,1007.21,68,260,31.14,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,51.30,07-23-2019,10:00:00,25.7,29.8,991.01,9.3,8.00,1007.58,79,230,33.04,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.80,07-23-2019,10:00:00,25.6,29.7,990.81,5.6,10.00,1007.10,79,240,32.83,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-23-2019,10:00:00,23.3,32.1,985.32,0.0,10.00,1006.81,60,000,28.58,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-23-2019,10:00:00,21.5,29.1,964.45,22.2,12.00,1007.41,64,220,25.63,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.40,07-23-2019,10:00:00,24.4,31.5,986.84,5.6,12.00,1007.10,66,210,30.49,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.40,07-23-2019,10:00:00,26.2,30.7,988.68,13.0,9.00,1009.29,77,240,34.06,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-23-2019,10:00:00,23.2,32.2,1007.79,13.0,10.00,1008.21,59,260,28.50,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-23-2019,10:00:00,27.4,31.5,1006.82,0.0,10.00,1008.22,79,000,36.42,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-23-2019,10:00:00,27.2,32.0,1003.24,7.4,9.00,1008.10,76,240,36.01,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-23-2019,10:00:00,23.0,33.0,1004.11,14.8,12.00,1007.34,56,240,28.12,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-23-2019,10:00:00,23.7,33.0,1007.05,3.7,10.00,1008.14,58,180,29.25,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-23-2019,10:00:00,23.5,33.4,1008.09,9.3,10.00,1008.38,56,220,28.92,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-23-2019,10:00:00,24.1,33.8,1007.79,9.3,10.00,1008.46,57,260,30.04,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-23-2019,10:00:00,23.4,32.8,1008.20,5.6,10.00,1008.68,58,300,28.85,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-23-2019,10:00:00,23.5,32.3,1006.75,13.0,10.00,1008.14,60,240,28.98,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-23-2019,10:00:00,25.1,30.2,1006.85,11.1,12.00,1008.52,74,220,31.84,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-23-2019,10:00:00,24.0,30.5,1002.75,0.0,10.00,1010.69,68,000,29.89,0.00
