WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,AirTemperature,StationPressure,Rainfall,WindSpeed,DewPoint,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,12.10,09-24-2019,04:00:00,4.00,000,24.2,991.69,0.00,0.0,23.8,29.39,97,1013.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.80,09-24-2019,04:00:00,4.00,070,23.2,969.65,1.00,11.1,21.8,26.17,92,1013.72
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.90,09-24-2019,04:00:00,10.00,000,24.0,992.75,0.00,0.0,22.5,27.25,91,1013.65
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.60,09-24-2019,04:00:00,6.00,040,22.7,994.09,0.00,3.7,22.2,26.82,97,1015.38
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,14.60,09-24-2019,04:00:00,10.00,010,24.2,1012.13,0.00,3.7,23.6,29.13,97,1012.57
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.90,09-24-2019,04:00:00,6.00,000,24.2,1011.00,0.00,0.0,23.6,29.13,97,1012.44
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,13.20,09-24-2019,04:00:00,7.00,000,24.6,1007.41,0.00,0.0,24.4,30.65,99,1012.41
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.70,09-24-2019,04:00:00,7.00,000,24.3,1009.76,0.00,0.0,23.9,29.57,97,1013.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,21.50,09-24-2019,04:00:00,10.00,000,24.5,1011.75,0.00,0.0,24.5,30.73,100,1012.87
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.80,09-24-2019,04:00:00,8.00,070,25.0,1012.16,0.00,5.6,24.3,30.32,96,1012.47
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,16.90,09-24-2019,04:00:00,10.00,000,24.4,1012.13,0.00,0.0,23.8,29.49,97,1012.62
