WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,DewPoint,AirTemperature,WindSpeed
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-17-2019,13:00:00,270,30.12,1007.00,58,0.00,13.00,997.88,24.2,33.7,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-17-2019,13:00:00,090,28.31,1005.45,54,0.00,{'@attributes': {'Unit': 'km'}},984.28,23.1,33.8,11.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-17-2019,13:00:00,000,31.34,1006.66,59,0.00,12.00,989.57,24.8,34.0,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-17-2019,13:00:00,030,28.72,1005.92,54,0.00,12.00,990.47,23.4,34.0,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-17-2019,13:00:00,020,31.34,1005.59,59,0.00,10.00,987.16,24.8,34.0,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-17-2019,13:00:00,000,26.05,1007.21,56,0.00,11.00,956.92,21.8,31.5,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-17-2019,13:00:00,310,30.76,1006.14,56,0.00,7.00,1002.29,24.5,34.7,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-17-2019,13:00:00,360,23.38,1006.83,65,0.00,9.00,913.45,20.0,27.2,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-17-2019,13:00:00,060,31.04,1006.09,58,0.00,{'@attributes': {'Unit': 'km'}},990.48,24.7,34.0,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-17-2019,13:00:00,000,30.52,1006.38,54,0.00,12.00,1002.45,24.4,35.0,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-17-2019,13:00:00,090,29.87,1007.54,56,0.00,10.00,997.10,24.0,34.0,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-17-2019,13:00:00,060,31.75,1007.85,61,0.00,10.00,1005.96,25.0,33.5,1.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-17-2019,13:00:00,060,28.63,1006.79,54,0.00,10.00,986.41,23.3,34.1,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-17-2019,13:00:00,040,29.09,1006.70,59,0.00,10.00,989.36,23.6,32.5,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-17-2019,13:00:00,020,28.84,1006.10,56,0.00,10.00,990.29,23.4,33.5,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-17-2019,13:00:00,000,27.52,1006.49,56,0.00,10.00,992.72,22.7,32.7,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-17-2019,13:00:00,260,30.73,1006.91,62,0.00,10.00,992.35,24.5,32.6,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-17-2019,13:00:00,020,32.53,1006.39,68,0.00,10.00,991.98,25.4,32.2,9.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-17-2019,13:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.76,1007.06,56,0.60,10.00,1004.11,24.5,34.7,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-17-2019,13:00:00,200,31.62,1006.32,62,0.00,10.00,998.54,25.0,33.3,5.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-17-2019,13:00:00,050,32.00,1006.81,63,16.80,10.00,1005.72,25.2,33.2,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-17-2019,13:00:00,000,23.77,1007.01,50,0.00,8.00,992.57,20.3,32.0,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-17-2019,13:00:00,060,24.94,1006.04,85,3.60,6.00,872.97,21.1,23.8,5.6
