WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,RelativeHumidity,WindDirection,DewPoint,StationPressure,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.5,10-05-2019,10:00:00,0.00,31.28,76,000,24.8,1011.63,0.00,10.00,0.0,1012.73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.7,10-05-2019,10:00:00,0.00,32.59,74,000,25.5,1011.91,2.70,10.00,0.0,1012.21
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.5,10-05-2019,10:00:00,0.00,31.31,72,000,24.8,1010.83,10.20,10.00,0.0,1011.51
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.2,10-05-2019,10:00:00,0.00,31.56,74,000,24.9,1011.64,14.00,10.00,0.0,1012.13
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.0,10-05-2019,10:00:00,0.00,32.55,81,070,25.5,1011.30,37.60,9.00,9.3,1012.70
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.3,10-05-2019,10:00:00,0.00,35.45,92,070,26.9,1010.43,0.00,3.00,14.8,1012.11
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.2,10-05-2019,10:00:00,0.00,32.10,79,000,25.2,1006.07,2.90,10.00,0.0,1014.07
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.9,10-05-2019,10:00:00,0.00,33.01,74,300,25.7,1009.74,15.70,8.00,3.7,1010.02
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.0,10-05-2019,10:00:00,0.00,32.34,72,320,25.4,1008.33,0.00,12.00,5.6,1011.44
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.0,10-05-2019,10:00:00,0.00,32.30,76,240,25.3,1004.67,0.00,8.00,5.6,1011.57
