WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-08-2019,10:00:00,31.31,24.8,8.00,30.5,10.70,020,1011.78,1012.89,72,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-08-2019,10:00:00,25.42,21.4,8.00,30.0,0.00,000,998.46,1013.09,60,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-08-2019,10:00:00,21.53,18.7,8.00,22.8,44.00,020,878.08,1012.41,78,1.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-08-2019,10:00:00,31.23,24.8,10.00,30.6,0.00,030,1007.06,1012.90,71,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-08-2019,10:00:00,30.61,24.4,9.00,31.0,1.00,060,1012.02,1012.81,68,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-08-2019,10:00:00,31.31,24.8,10.00,30.5,0.00,210,1011.99,1012.44,72,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-08-2019,10:00:00,31.13,24.7,10.00,29.0,9.40,000,1001.95,1013.25,78,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-08-2019,10:00:00,30.31,24.3,10.00,30.0,0.00,000,1012.45,1013.46,71,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-08-2019,10:00:00,31.23,24.8,7.00,30.6,23.70,360,1011.46,1013.27,71,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-08-2019,10:00:00,28.86,23.5,10.00,30.4,0.00,000,1012.17,1012.93,66,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-08-2019,10:00:00,30.80,24.5,10.00,29.4,1.70,080,1012.21,1012.91,75,7.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-08-2019,10:00:00,30.61,24.4,10.00,31.7,0.40,000,1011.53,1012.22,65,0.0
