WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall24Hr
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.6,08-31-2019,10:00:00,3.80,26.6,000,0.0,30.89,983.45,1005.15,12.00,89,59.30
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.2,08-31-2019,10:00:00,11.90,26.5,160,9.3,30.16,985.06,1004.52,10.00,87,57.20
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.0,08-31-2019,10:00:00,2.20,25.2,100,5.6,29.89,989.41,1006.23,9.00,93,52.50
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,08-31-2019,10:00:00,7.80,25.0,000,0.0,30.32,988.82,1006.32,7.00,96,69.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.4,08-31-2019,10:00:00,0.00,24.7,140,3.7,28.72,976.21,1002.04,10.00,92,30.80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.5,08-31-2019,10:00:00,1.40,26.1,140,9.3,32.68,996.94,1002.71,10.00,97,35.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.3,08-31-2019,10:00:00,1.20,26.0,000,0.0,32.20,997.04,1003.22,8.00,96,43.70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.1,08-31-2019,10:00:00,19.80,24.8,190,9.3,29.95,987.43,1003.93,6.00,96,62.90
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.6,08-31-2019,10:00:00,2.30,25.5,000,0.0,29.11,979.98,1002.30,10.00,89,52.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.4,08-31-2019,10:00:00,0.00,26.3,000,0.0,30.59,989.42,1003.80,5.00,89,50.70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.4,08-31-2019,10:00:00,0.30,26.4,000,0.0,30.51,986.72,1003.07,6.00,89,102.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,08-31-2019,10:00:00,1.00,26.0,000,0.0,31.38,998.53,1003.76,10.00,93,52.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.4,08-31-2019,10:00:00,10.50,25.0,000,0.0,30.58,989.28,1002.50,6.00,97,106.30
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.7,08-31-2019,10:00:00,1.50,26.4,160,9.3,31.05,994.22,1003.53,8.00,90,81.60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.4,08-31-2019,10:00:00,1.60,27.0,210,11.1,30.56,982.31,1003.92,10.00,86,58.40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.6,08-31-2019,10:00:00,0.00,27.6,240,11.1,30.89,986.82,1004.24,10.00,84,163.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.5,08-31-2019,10:00:00,11.20,25.2,200,5.6,30.69,988.07,1003.95,10.00,96,99.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.3,08-31-2019,10:00:00,0.10,27.0,200,13.0,30.29,984.17,1002.97,8.00,85,93.50
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.6,08-31-2019,10:00:00,0.00,25.4,000,0.0,27.38,951.42,1002.45,10.00,84,11.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,08-31-2019,10:00:00,2.30,26.0,130,13.0,31.38,999.63,1003.59,5.00,93,112.50
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,08-31-2019,10:00:00,0.40,21.5,200,5.6,24.44,908.63,1003.38,1.00,95,71.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.2,08-31-2019,10:00:00,0.00,27.3,210,7.4,31.97,988.55,1004.48,8.00,88,47.20
