WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,WindDirection,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,LandVisibility,StationPressure,Rainfall,Rainfall24Hr
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.0,07-10-2019,22:00:00,77,220,22.6,1008.15,7.4,27.36,10.00,974.65,0.00,0.80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.9,07-10-2019,22:00:00,72,270,22.4,1008.32,5.6,27.14,12.00,989.87,0.00,2.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.1,07-10-2019,22:00:00,89,000,25.1,1008.11,0.0,31.85,10.00,985.32,0.00,1.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.9,07-10-2019,22:00:00,85,000,24.1,1008.16,0.0,30.10,10.00,978.30,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.6,07-10-2019,22:00:00,70,000,21.6,1008.20,0.0,25.83,7.00,972.82,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.0,07-10-2019,22:00:00,78,000,23.8,1007.62,0.0,29.46,12.00,978.06,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.3,07-10-2019,22:00:00,83,000,24.1,1009.38,0.0,30.04,10.00,1002.06,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.2,07-10-2019,22:00:00,90,000,25.5,1007.36,0.0,32.61,10.00,987.48,0.00,1.80
48353,LOEI,เลย,เลย,17.45000,101.73333,29.4,07-10-2019,22:00:00,68,000,23.0,1008.09,0.0,28.04,12.00,979.67,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.3,07-10-2019,22:00:00,80,110,24.6,1007.97,5.6,30.87,15.00,987.89,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.4,07-10-2019,22:00:00,76,260,22.8,1008.65,3.7,27.82,12.00,986.93,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.1,07-10-2019,22:00:00,77,000,23.6,1007.57,0.0,29.11,12.00,988.16,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.1,07-10-2019,22:00:00,83,000,26.0,1008.13,0.0,33.62,12.00,991.49,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.5,07-10-2019,22:00:00,85,000,25.7,1008.19,0.0,32.96,10.00,990.85,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.0,07-10-2019,22:00:00,71,000,23.2,1005.24,0.0,28.37,11.00,979.70,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.6,07-10-2019,22:00:00,71,280,22.7,1008.24,5.6,27.63,10.00,1002.47,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,07-10-2019,22:00:00,81,000,24.9,1008.23,0.0,31.54,12.00,1002.06,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.5,07-10-2019,22:00:00,81,000,23.9,1009.40,0.0,29.60,8.00,992.96,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.0,07-10-2019,22:00:00,83,000,22.0,1008.94,0.0,26.43,10.00,986.44,0.00,5.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.0,07-10-2019,22:00:00,70,280,21.9,1009.95,7.4,26.28,6.00,995.57,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.1,07-10-2019,22:00:00,70,000,22.0,1008.51,0.0,26.45,8.00,992.17,0.00,0.00
