WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,68,08-07-2019,19:00:00,29.61,0.00,23.9,7.4,982.27,36.5,0.00,270,1003.09,30.5,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,55,08-07-2019,19:00:00,26.37,0.10,22.0,3.7,985.80,34.7,0.00,270,1002.16,32.1,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,58,08-07-2019,19:00:00,26.97,0.20,22.3,3.7,986.80,34.3,0.00,270,1002.91,31.7,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,62,08-07-2019,19:00:00,27.14,0.00,22.4,3.7,981.26,35.2,0.00,280,1002.78,30.5,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,76,08-07-2019,19:00:00,27.45,0.20,22.6,11.1,961.03,29.3,0.00,220,1004.11,27.2,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,57,08-07-2019,19:00:00,25.65,0.01,21.5,14.8,982.52,36.1,0.01,280,1002.73,31.0,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,60,08-07-2019,19:00:00,27.57,0.00,22.7,9.3,984.12,33.8,0.00,270,1004.60,31.3,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,68,08-07-2019,19:00:00,27.77,0.60,22.8,9.3,1004.42,32.4,0.01,300,1004.85,29.4,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,87,08-07-2019,19:00:00,33.00,3.20,25.7,0.0,1002.62,31.5,0.00,000,1004.03,28.1,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,79,08-07-2019,19:00:00,31.49,0.30,24.9,3.7,999.70,32.5,0.00,270,1004.59,28.9,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,79,08-07-2019,19:00:00,29.44,2.40,23.8,5.6,1001.61,32.5,0.80,290,1004.89,27.7,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,82,08-07-2019,19:00:00,30.72,4.90,24.5,3.7,1004.35,33.0,0.00,240,1005.45,27.8,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,79,08-07-2019,19:00:00,32.22,19.00,25.3,0.0,1004.44,32.2,0.01,000,1004.74,29.4,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,73,08-07-2019,19:00:00,31.35,13.90,24.8,5.6,1003.35,32.2,0.00,240,1004.02,30.1,10.00
