WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,DewPoint,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-09-2019,13:00:00,988.87,24.6,0.00,3.7,32.0,65,30.94,12.00,250,1004.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.80,09-09-2019,13:00:00,985.82,25.8,0.00,0.0,32.0,70,33.29,10.00,000,1004.34
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,17.70,09-09-2019,13:00:00,958.70,22.2,7.20,0.0,26.2,79,26.72,10.00,000,1009.98
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.30,09-09-2019,13:00:00,1002.45,25.5,0.00,7.4,32.1,68,32.61,8.00,180,1006.34
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,8.20,09-09-2019,13:00:00,913.28,20.9,0.30,14.8,22.4,91,24.65,4.00,230,1008.21
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.50,09-09-2019,13:00:00,989.70,24.4,0.00,11.1,32.2,63,30.48,10.00,250,1005.39
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-09-2019,13:00:00,1002.67,24.4,0.00,3.7,34.3,56,30.50,12.00,330,1006.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-09-2019,13:00:00,997.14,24.5,0.00,0.0,33.0,61,30.69,10.00,000,1007.61
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.70,09-09-2019,13:00:00,1005.15,23.0,0.00,0.0,34.5,51,28.02,10.00,000,1007.03
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-09-2019,13:00:00,985.46,23.0,0.00,5.6,31.3,62,28.12,12.00,250,1006.01
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-09-2019,13:00:00,987.90,25.0,0.00,11.1,31.5,68,31.64,10.00,230,1005.27
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-09-2019,13:00:00,989.37,24.4,0.00,7.4,32.4,63,30.61,10.00,200,1005.22
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.10,09-09-2019,13:00:00,992.41,24.3,0.00,11.1,31.4,66,30.28,10.00,230,1006.23
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-09-2019,13:00:00,992.29,25.1,0.00,0.0,31.5,69,31.93,10.00,000,1006.90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-09-2019,13:00:00,992.82,25.0,0.00,0.0,31.0,71,31.76,10.00,000,1007.31
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.60,09-09-2019,13:00:00,1004.01,23.3,0.00,0.0,34.4,53,28.67,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.96
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-09-2019,13:00:00,998.80,25.4,0.00,5.6,32.3,67,32.44,10.00,250,1006.61
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-09-2019,13:00:00,1007.13,24.2,0.00,11.1,32.3,62,30.12,8.00,230,1008.22
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-09-2019,13:00:00,990.34,26.0,0.00,0.0,33.1,66,33.58,9.00,000,1004.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,40.80,09-09-2019,13:00:00,873.89,20.9,0.00,7.4,22.9,89,24.72,4.00,290,1007.53
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-09-2019,13:00:00,1001.10,25.1,0.00,0.0,34.0,60,31.94,10.00,000,1006.85
