WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindDirection,Rainfall,StationPressure,MaximumTemperature,Rainfall24Hr,AirTemperature,WindSpeed,DewPoint
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.34,10-01-2019,19:00:00,74,7.00,32.59,000,0.00,1002.18,35.4,0.00,30.7,0.0,25.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.50,10-01-2019,19:00:00,66,10.00,28.97,000,0.00,993.47,36.6,0.00,30.6,0.0,23.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.92,10-01-2019,19:00:00,81,6.00,30.75,000,0.00,998.63,34.1,2.40,28.1,0.0,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.18,10-01-2019,19:00:00,68,7.00,29.03,120,0.00,986.70,35.0,0.00,30.2,3.7,23.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1008.08,10-01-2019,19:00:00,68,12.00,28.91,000,0.00,990.74,35.6,0.00,30.0,0.0,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1007.79,10-01-2019,19:00:00,65,10.00,27.55,210,0.00,992.11,34.6,0.00,30.0,3.7,22.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1007.54,10-01-2019,19:00:00,81,7.00,32.55,000,0.00,988.77,34.6,0.00,29.0,0.0,25.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.40,10-01-2019,19:00:00,87,8.00,28.51,000,0.00,958.99,32.8,16.70,25.6,0.0,23.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.46,10-01-2019,19:00:00,80,3.00,36.36,050,0.00,1003.56,35.0,0.00,31.2,3.7,27.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.32,10-01-2019,19:00:00,86,5.00,25.59,000,0.00,914.74,28.3,0.00,23.9,0.0,21.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1008.33,10-01-2019,19:00:00,81,8.00,32.14,000,0.00,992.42,34.4,0.00,28.8,0.0,25.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.15,10-01-2019,19:00:00,73,8.00,32.72,000,0.00,1004.16,35.9,0.00,30.9,0.0,25.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.19,10-01-2019,19:00:00,82,5.00,32.83,000,0.30,998.56,34.8,0.30,29.0,0.0,25.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.47,10-01-2019,19:00:00,81,7.00,34.99,000,0.40,1006.55,35.5,0.40,30.3,0.0,26.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.98,10-01-2019,19:00:00,67,7.00,31.19,000,0.00,987.42,35.2,0.00,31.7,0.0,24.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.22,10-01-2019,19:00:00,80,10.00,32.38,180,0.00,990.66,33.8,0.00,29.2,3.7,25.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.08,10-01-2019,19:00:00,72,10.00,30.70,000,0.00,992.08,34.0,0.00,30.2,0.0,24.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.05,10-01-2019,19:00:00,61,8.00,26.79,000,0.00,995.15,34.2,0.00,30.6,0.0,22.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.39,10-01-2019,19:00:00,77,7.00,30.46,000,0.00,994.62,34.2,0.00,28.8,0.0,24.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.14,10-01-2019,19:00:00,84,10.00,35.10,000,0.00,994.58,38.2,0.00,29.8,0.0,26.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.83,10-01-2019,19:00:00,67,8.00,31.89,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1004.86,36.0,0.00,31.9,0.0,25.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.40,10-01-2019,19:00:00,75,10.00,32.34,000,0.00,1000.52,35.3,0.00,30.3,0.0,25.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.54,10-01-2019,19:00:00,75,8.00,31.32,150,0.00,1007.44,35.0,0.00,29.8,5.6,24.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.51,10-01-2019,19:00:00,77,8.00,33.98,000,0.00,994.97,34.0,0.00,30.8,0.0,26.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1010.41,10-01-2019,19:00:00,98,3.00,24.53,190,0.00,875.64,24.0,0.01,21.1,7.4,20.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.53,10-01-2019,19:00:00,81,7.00,34.77,000,0.00,1002.70,35.8,0.00,30.2,0.0,26.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.61,10-01-2019,19:00:00,75,8.00,30.72,210,0.00,1007.81,36.5,0.00,29.5,1.9,24.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.63,10-01-2019,19:00:00,80,9.00,33.20,210,0.00,1008.18,31.5,60.20,29.6,18.5,25.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.53,10-01-2019,19:00:00,78,6.00,29.85,000,0.00,998.24,35.7,0.00,28.2,0.0,24.0
