WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,StationPressure,AirTemperature,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall24Hr,DewPoint,WindDirection
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-22-2019,19:00:00,32.8,988.07,27.4,10.00,7.4,1005.68,76,27.82,22.40,22.8,190
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-22-2019,19:00:00,33.2,988.95,28.3,10.00,0.0,1005.01,79,30.31,22.80,24.3,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.01,07-22-2019,19:00:00,32.7,992.16,26.3,10.00,9.3,1006.21,89,30.59,16.00,24.4,290
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.60,07-22-2019,19:00:00,31.8,991.97,24.5,8.00,0.0,1006.92,92,28.37,17.60,23.2,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.00,07-22-2019,19:00:00,34.4,992.25,27.2,6.00,7.4,1006.91,83,29.85,17.60,24.0,210
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-22-2019,19:00:00,37.0,1001.21,32.8,10.00,0.0,1004.16,67,33.22,0.00,25.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-22-2019,19:00:00,34.8,996.65,32.1,10.00,0.0,1004.45,62,29.71,0.01,23.9,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-22-2019,19:00:00,35.7,1003.41,33.0,8.00,3.7,1004.49,67,33.66,0.00,26.0,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.00,07-22-2019,19:00:00,34.2,992.50,25.5,8.00,0.0,1007.27,88,28.59,8.90,23.3,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-22-2019,19:00:00,25.5,871.92,21.4,8.00,5.6,1005.98,93,23.59,0.40,20.2,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-22-2019,19:00:00,37.0,998.90,33.0,10.00,0.0,1004.65,65,32.76,0.00,25.6,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-22-2019,19:00:00,37.0,1004.12,32.8,10.00,0.0,1004.91,77,38.49,0.10,28.3,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-22-2019,19:00:00,33.0,1004.87,30.5,10.00,9.3,1005.31,71,31.03,0.00,24.7,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.20,07-22-2019,19:00:00,34.7,995.01,30.2,7.00,0.0,1006.18,72,30.99,1.80,24.6,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-22-2019,19:00:00,36.7,1004.20,31.8,12.00,0.0,1005.19,69,32.27,0.10,25.3,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-22-2019,19:00:00,36.4,1003.22,33.1,9.00,0.0,1005.00,61,30.61,0.00,24.4,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-22-2019,19:00:00,35.9,1004.00,31.0,7.00,0.0,1004.75,73,32.63,0.00,25.5,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-22-2019,19:00:00,35.0,1004.66,29.8,10.00,16.7,1005.35,75,31.60,0.00,25.0,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-22-2019,19:00:00,37.0,1004.52,32.5,10.00,3.7,1005.21,67,32.87,0.00,25.6,260
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-22-2019,19:00:00,37.2,984.15,33.5,10.00,9.3,1004.81,55,28.56,0.01,23.3,260
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-22-2019,19:00:00,35.0,989.67,27.6,8.00,0.0,1006.34,73,26.86,0.10,22.3,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-22-2019,19:00:00,35.3,990.06,27.5,8.00,3.7,1006.45,73,26.95,0.70,22.3,040
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-22-2019,19:00:00,36.1,983.62,31.0,10.00,0.0,1005.15,63,28.37,0.00,23.2,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-22-2019,19:00:00,34.0,962.70,29.6,10.00,7.4,1005.51,62,25.75,0.00,21.6,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-22-2019,19:00:00,35.9,985.34,27.4,10.00,11.1,1005.84,71,25.74,3.00,21.6,120
