WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,DewPoint,StationPressure,AirTemperature,Rainfall
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-16-2019,13:00:00,1003.37,0.01,10.00,000,30.42,51,24.3,987.91,36.2,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,07-16-2019,13:00:00,1004.04,0.00,12.00,110,30.19,53,24.2,1000.13,35.4,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.7,07-16-2019,13:00:00,1005.01,0.00,10.00,220,27.00,49,22.4,994.63,34.7,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,07-16-2019,13:00:00,1004.58,0.60,10.00,150,25.21,46,21.2,1002.70,34.5,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,13.0,07-16-2019,13:00:00,1002.38,0.00,12.00,180,24.57,37,20.8,982.34,38.0,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,07-16-2019,13:00:00,1003.39,2.10,10.00,340,27.32,49,22.5,986.24,35.0,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,07-16-2019,13:00:00,1002.99,0.00,10.00,210,29.05,52,23.6,987.32,35.0,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.4,07-16-2019,13:00:00,1003.92,0.00,10.00,210,30.12,58,24.2,990.23,33.7,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-16-2019,13:00:00,1004.76,0.00,10.00,000,31.50,60,24.9,990.30,33.8,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.6,07-16-2019,13:00:00,1004.85,0.00,10.00,240,28.88,51,23.5,990.60,35.2,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-16-2019,13:00:00,1004.33,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.02,47,23.0,1001.40,35.9,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.4,07-16-2019,13:00:00,1004.01,0.00,10.00,290,29.04,54,23.6,996.27,34.3,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,14.8,07-16-2019,13:00:00,1004.92,0.00,10.00,220,29.91,58,24.0,1003.84,33.6,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-16-2019,13:00:00,1004.06,0.00,8.00,000,27.58,52,22.7,989.75,34.0,0.00
