WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,DewPoint,MaximumTemperature,LandVisibility,WindSpeed,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.45,09-18-2019,19:00:00,1006.88,1.20,210,24.9,32.0,10.00,11.1,29.3,1007.32,0.00,77
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.79,09-18-2019,19:00:00,997.29,7.40,000,25.1,32.2,6.00,0.0,26.5,1008.63,0.00,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.78,09-18-2019,19:00:00,1006.55,0.00,350,26.1,36.5,10.00,3.7,31.4,1007.54,0.00,74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,35.81,09-18-2019,19:00:00,1005.45,1.70,000,27.1,34.5,8.00,0.0,31.5,1007.25,0.00,77
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.42,09-18-2019,19:00:00,1006.38,0.00,000,25.4,36.5,8.00,0.0,30.9,1007.13,0.00,73
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.07,09-18-2019,19:00:00,1006.57,18.20,090,23.0,34.1,10.00,5.6,31.7,1007.27,0.00,60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.45,09-18-2019,19:00:00,1006.68,1.60,060,24.3,35.1,7.00,3.7,27.8,1007.38,1.60,82
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.82,09-18-2019,19:00:00,986.57,0.00,060,24.5,34.2,10.00,5.6,31.1,1007.44,0.00,68
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.92,09-18-2019,19:00:00,992.29,0.00,340,25.6,33.4,9.00,24.1,30.3,1008.85,0.00,76
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,34.46,09-18-2019,19:00:00,992.56,0.00,350,26.4,33.7,6.00,13.0,29.5,1008.88,0.00,84
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,30.49,09-18-2019,19:00:00,985.50,0.00,000,24.4,35.2,10.00,0.0,31.5,1007.04,0.00,66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.28,09-18-2019,19:00:00,964.57,0.00,100,21.9,32.5,10.00,3.7,28.0,1007.69,0.00,70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.31,09-18-2019,19:00:00,986.91,0.00,030,24.3,33.5,10.00,5.6,30.0,1007.27,0.00,71
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.63,09-18-2019,19:00:00,989.20,0.00,020,25.5,32.2,8.00,3.7,28.2,1009.99,0.00,85
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.98,09-18-2019,19:00:00,1006.73,1.10,200,26.2,34.0,10.00,16.7,30.8,1007.16,0.00,77
