WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,WindDirection,VaporPressure
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,80,09-11-2019,13:00:00,26.5,11.00,0.00,16.40,22.8,1013.32,961.91,0.0,000,27.77
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,68,09-11-2019,13:00:00,30.5,7.00,0.00,3.10,24.0,1011.35,1007.42,9.3,160,29.89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,94,09-11-2019,13:00:00,21.7,7.00,2.20,3.40,20.8,1012.48,916.93,9.3,240,24.51
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,86,09-11-2019,13:00:00,28.3,8.00,0.00,3.30,25.8,1011.84,995.85,5.6,270,33.12
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,61,09-11-2019,13:00:00,31.9,10.00,0.00,0.00,23.4,1012.18,1008.19,1.9,270,28.74
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,65,09-11-2019,13:00:00,30.5,9.00,0.00,21.60,23.2,1013.01,1002.40,3.7,200,28.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,58,09-11-2019,13:00:00,32.2,10.00,0.00,1.90,22.9,1012.24,1010.34,3.7,240,27.94
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,73,09-11-2019,13:00:00,28.7,10.00,0.00,16.90,23.3,1012.05,991.20,0.0,000,28.62
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,78,09-11-2019,13:00:00,28.3,10.00,0.01,15.10,24.1,1011.76,994.09,11.1,260,30.04
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,78,09-11-2019,13:00:00,28.5,10.00,0.00,7.90,24.3,1011.46,995.31,9.3,230,30.42
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,68,09-11-2019,13:00:00,30.0,10.00,0.00,5.30,23.3,1011.80,997.84,7.4,270,28.64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,73,09-11-2019,13:00:00,30.0,7.00,0.00,2.00,24.7,1012.42,997.66,0.0,000,31.15
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,78,09-11-2019,13:00:00,30.0,8.00,0.00,1.70,25.8,1012.45,997.85,0.0,000,33.17
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,57,09-11-2019,13:00:00,32.1,10.00,0.00,0.10,22.6,1011.88,1008.90,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",27.46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,71,09-11-2019,13:00:00,30.8,10.00,0.01,36.60,24.8,1011.71,1003.82,0.0,000,31.35
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,61,09-11-2019,13:00:00,31.8,8.00,0.00,0.50,23.4,1006.62,1005.53,5.6,210,28.82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,66,09-11-2019,13:00:00,30.0,8.00,0.00,35.50,23.0,1011.14,996.54,0.0,000,28.09
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,79,09-11-2019,13:00:00,24.5,8.00,0.00,55.80,20.7,1010.52,877.14,3.7,360,24.37
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,61,09-11-2019,13:00:00,32.5,10.00,0.00,6.80,24.1,1011.87,1006.07,0.0,000,29.95
