WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,WindDirection,LandVisibility,AirTemperature,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,DewPoint,Rainfall24Hr
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,84,09-02-2019,04:00:00,0.00,000,3.00,26.5,29.08,1005.44,0.0,1006.21,23.6,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,84,09-02-2019,04:00:00,0.20,230,10.00,26.1,28.36,1006.18,1.9,1006.88,23.2,11.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,93,09-02-2019,04:00:00,0.30,000,7.00,26.5,32.35,1005.85,0.0,1006.55,25.4,1.60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,92,09-02-2019,04:00:00,0.50,270,8.00,25.0,29.00,985.35,5.6,1006.64,23.5,0.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,97,09-02-2019,04:00:00,3.00,000,5.00,25.3,31.14,988.77,0.0,1005.55,24.7,11.60
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,94,09-02-2019,04:00:00,3.50,270,5.00,25.2,30.15,989.67,5.6,1006.18,24.2,12.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,88,09-02-2019,04:00:00,0.10,000,6.00,25.5,28.85,984.71,0.0,1006.66,23.4,0.10
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,91,09-02-2019,04:00:00,0.30,240,8.00,24.2,27.60,963.53,3.7,1007.17,22.7,10.60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,89,09-02-2019,04:00:00,0.60,230,5.00,24.8,27.87,985.26,5.6,1005.94,22.9,1.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-02-2019,04:00:00,3.80,260,5.00,23.9,29.64,986.01,11.1,1007.04,23.9,11.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,84,09-02-2019,04:00:00,0.00,040,10.00,27.2,30.39,1006.22,1.9,1006.65,24.3,0.01
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,09-02-2019,04:00:00,0.00,000,6.00,25.5,31.25,1004.94,0.0,1006.37,24.8,2.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,98,09-02-2019,04:00:00,0.50,000,7.00,25.4,31.87,1001.61,0.0,1006.57,25.1,5.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,78,09-02-2019,04:00:00,0.00,320,10.00,26.9,27.70,1003.25,5.6,1006.55,22.8,0.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,95,09-02-2019,04:00:00,0.00,000,10.00,25.6,31.17,1005.54,0.0,1006.65,24.7,2.10
