WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,DewPoint
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.80,08-12-2019,13:00:00,10.00,32.0,160,5.6,1006.60,0.00,30.65,64,992.02,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.30,08-12-2019,13:00:00,10.00,32.6,190,3.7,1006.30,0.00,33.39,68,991.91,25.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.00,08-12-2019,13:00:00,10.00,31.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1006.04,0.00,31.23,68,1003.07,24.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,2.20,08-12-2019,13:00:00,10.00,33.1,200,3.7,1005.34,0.00,27.75,55,997.56,22.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,13.60,08-12-2019,13:00:00,8.00,32.5,210,14.8,1006.32,0.00,30.24,62,1005.23,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,6.50,08-12-2019,13:00:00,8.00,31.0,000,0.0,1006.50,0.00,24.86,55,992.02,21.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.40,08-12-2019,13:00:00,8.00,21.0,210,5.6,1007.95,0.40,24.61,99,873.47,20.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,21.00,08-12-2019,13:00:00,10.00,32.0,180,13.0,1006.12,0.00,32.99,69,1000.34,25.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-12-2019,13:00:00,12.00,34.0,220,5.6,1006.53,0.00,29.87,56,1005.74,24.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-12-2019,13:00:00,10.00,30.8,210,22.2,1007.16,0.00,31.06,70,1006.72,24.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,45.40,08-12-2019,13:00:00,7.00,29.7,000,0.0,1007.05,0.00,31.97,77,995.85,25.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.90,08-12-2019,13:00:00,12.00,32.3,220,7.4,1006.92,0.00,31.27,65,1005.93,24.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.00,08-12-2019,13:00:00,9.00,31.9,210,3.7,1006.86,0.00,30.16,64,1005.06,24.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,18.90,08-12-2019,13:00:00,9.00,31.5,210,3.7,1006.63,0.00,29.35,64,1005.88,23.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.40,08-12-2019,13:00:00,10.00,31.1,200,14.8,1007.10,0.00,29.40,65,1006.41,23.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.01,08-12-2019,13:00:00,8.00,33.0,240,5.6,1006.80,0.01,32.16,64,1006.11,25.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.10,08-12-2019,13:00:00,12.00,34.6,290,1.9,1005.41,0.00,26.52,48,984.81,22.1
