WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindSpeed,WindDirection,VaporPressure
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10.70,10-08-2019,04:00:00,92,23.4,24.9,0.00,1010.41,7.00,1009.29,0.0,000,28.82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-08-2019,04:00:00,95,24.7,25.6,0.00,1010.05,8.00,995.25,0.0,000,31.17
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,47.60,10-08-2019,04:00:00,98,17.1,17.4,0.00,1012.72,8.00,876.07,0.0,000,19.44
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-08-2019,04:00:00,96,23.8,24.5,0.00,1010.22,10.00,1004.28,0.0,000,29.41
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.00,10-08-2019,04:00:00,96,23.8,24.5,0.00,1010.25,8.00,1009.44,3.7,330,29.41
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-08-2019,04:00:00,91,23.9,25.5,0.00,1009.54,8.00,1009.09,5.6,120,29.64
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,9.40,10-08-2019,04:00:00,97,23.2,23.8,1.60,1011.05,5.00,999.58,0.0,000,28.43
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-08-2019,04:00:00,92,24.8,26.2,0.00,1010.52,7.00,1009.50,0.0,000,31.22
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.70,10-08-2019,04:00:00,96,24.3,25.0,0.00,1010.58,7.00,1008.74,0.0,000,30.32
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1.70,10-08-2019,04:00:00,95,23.3,24.2,0.00,1010.28,8.00,1009.56,3.7,040,28.62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.40,10-08-2019,04:00:00,92,24.0,25.5,0.00,1009.75,7.00,1009.04,0.0,000,29.91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,10-08-2019,04:00:00,93,22.8,24.0,0.00,1010.61,6.00,989.17,0.0,000,27.76
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-08-2019,04:00:00,92,23.4,24.7,0.00,1010.27,6.00,993.37,0.0,000,28.72
