WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.87,09-30-2019,19:00:00,24.0,988.64,0.0,8.00,34.5,000,0.00,28.5,0.00,77,1007.44
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.84,09-30-2019,19:00:00,22.3,957.35,0.0,8.00,33.2,000,0.00,27.0,0.00,75,1008.42
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.27,09-30-2019,19:00:00,26.3,1003.71,0.0,4.00,35.2,000,0.00,30.8,0.00,77,1007.62
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.03,09-30-2019,19:00:00,21.1,914.65,5.6,7.00,28.5,230,0.00,23.1,1.20,89,1009.49
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.10,09-30-2019,19:00:00,25.2,992.57,0.0,8.00,34.1,000,0.00,28.5,0.00,83,1008.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.39,09-30-2019,19:00:00,25.9,1004.15,0.0,5.00,35.5,000,0.00,30.8,0.00,75,1008.14
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.80,09-30-2019,19:00:00,25.1,998.42,0.0,8.00,34.8,000,0.00,29.9,0.00,75,1009.01
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.63,09-30-2019,19:00:00,26.0,1006.59,0.0,10.00,35.3,000,0.00,30.5,0.00,77,1008.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.92,09-30-2019,19:00:00,21.7,987.75,0.0,7.00,33.8,000,0.00,31.0,0.00,58,1008.36
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.07,09-30-2019,19:00:00,24.1,990.82,5.6,10.00,33.3,170,0.00,28.6,0.00,77,1008.42
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.74,09-30-2019,19:00:00,22.8,992.02,0.0,10.00,33.6,000,0.00,30.1,0.00,65,1008.03
