WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,51,07-12-2019,19:00:00,20.8,32.3,24.59,000,1005.16,12.00,0.00,0.00,0.0,36.2,972.32
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,55,07-12-2019,19:00:00,22.9,33.0,27.84,270,1004.87,12.00,0.00,0.00,3.7,36.0,986.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,55,07-12-2019,19:00:00,23.3,33.7,28.68,000,1004.48,10.00,0.00,0.00,0.0,36.1,982.25
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,65,07-12-2019,19:00:00,22.7,30.0,27.55,000,1006.01,10.00,0.00,0.00,0.0,35.8,976.51
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,51,07-12-2019,19:00:00,20.9,32.2,24.67,000,1005.85,10.00,0.00,0.00,0.0,36.2,971.07
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,61,07-12-2019,19:00:00,24.2,32.8,30.28,290,1004.15,15.00,0.00,0.00,3.7,38.7,975.14
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,54,07-12-2019,19:00:00,23.3,34.1,28.63,000,1005.70,10.00,0.00,0.00,0.0,37.5,998.57
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,66,07-12-2019,19:00:00,26.6,33.9,34.75,000,1004.61,15.00,3.90,0.00,0.0,35.9,985.21
48353,LOEI,เลย,เลย,17.45000,101.73333,48,07-12-2019,19:00:00,21.7,34.3,25.93,270,1004.48,15.00,0.00,0.00,7.4,38.4,976.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,56,07-12-2019,19:00:00,24.0,34.0,29.87,090,1004.66,13.00,0.00,0.00,5.6,36.6,985.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,71,07-12-2019,19:00:00,26.5,32.5,34.68,000,1006.27,12.00,0.00,0.00,0.0,36.5,984.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,68,07-12-2019,19:00:00,25.8,32.4,33.25,100,1005.10,12.00,0.00,0.00,1.9,36.2,986.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,78,07-12-2019,19:00:00,25.2,29.5,32.13,000,1005.30,10.00,0.00,0.00,0.0,35.3,988.72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,82,07-12-2019,19:00:00,25.0,28.3,31.70,000,1006.57,10.00,0.00,0.00,0.0,34.4,989.25
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,61,07-12-2019,19:00:00,25.3,33.9,32.32,250,1004.43,12.00,0.00,0.00,5.6,37.6,979.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,56,07-12-2019,19:00:00,22.7,32.6,27.61,230,1006.01,10.00,0.00,0.00,9.3,37.2,1000.34
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,58,07-12-2019,19:00:00,23.1,32.5,28.25,310,1006.13,12.00,0.00,0.00,9.3,36.2,1000.06
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,54,07-12-2019,19:00:00,22.5,33.0,27.28,000,1006.08,10.00,0.00,0.00,0.0,37.0,989.98
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,82,07-12-2019,19:00:00,24.0,27.3,29.77,240,1007.22,10.00,1.20,0.20,3.7,32.0,984.92
48376,TAK,ตาก,ตาก,16.87833,99.14333,61,07-12-2019,19:00:00,22.7,31.0,27.54,270,1007.84,8.00,0.00,0.00,13.0,35.0,993.63
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,62,07-12-2019,19:00:00,22.4,30.5,27.14,230,1007.07,7.00,0.00,0.00,7.4,33.6,990.88
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,56,07-12-2019,19:00:00,23.4,33.5,28.84,240,1005.84,10.00,0.00,0.00,5.6,35.9,1000.73
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,75,07-12-2019,19:00:00,25.6,30.5,32.75,000,1004.45,12.00,10.40,1.60,0.0,37.3,991.44
