WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,Rainfall,DewPoint,MinimumTemperature,WindDirection,AirTemperature
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-14-2019,07:00:00,8.00,1007.68,0.50,29.08,84,991.26,0.00,23.6,25.6,000,26.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,09-14-2019,07:00:00,10.00,1007.70,0.00,30.43,88,1002.46,0.00,24.3,25.3,030,26.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-14-2019,07:00:00,10.00,1006.61,0.00,30.52,94,993.35,0.00,24.4,24.7,000,25.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,09-14-2019,07:00:00,12.00,1007.65,0.00,29.78,87,998.30,0.00,24.0,25.7,000,26.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.9,09-14-2019,07:00:00,10.00,1008.33,8.20,31.71,97,986.52,0.00,25.0,24.8,090,25.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-14-2019,07:00:00,12.00,1008.71,0.00,28.59,88,991.10,0.00,23.3,25.0,000,25.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,09-14-2019,07:00:00,10.00,1007.86,0.00,28.70,85,991.97,0.00,23.4,24.5,020,26.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-14-2019,07:00:00,8.00,1007.51,0.80,31.31,98,988.50,0.40,24.8,24.0,000,25.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-14-2019,07:00:00,8.00,1008.98,0.80,26.25,95,957.18,0.00,21.9,21.4,000,22.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,09-14-2019,07:00:00,5.00,1007.28,0.00,33.17,92,1003.32,0.00,25.8,26.0,300,27.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,09-14-2019,07:00:00,.50,1009.08,0.30,24.07,96,913.67,0.00,20.5,20.4,200,21.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-14-2019,07:00:00,8.00,1008.41,9.30,31.33,97,992.32,0.00,24.8,24.1,000,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,09-14-2019,07:00:00,9.00,1007.67,0.50,32.20,96,1003.62,0.30,25.3,25.5,230,26.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-14-2019,07:00:00,9.00,1008.58,5.50,30.50,96,997.82,0.00,24.4,24.6,000,25.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-14-2019,07:00:00,9.00,1008.15,10.80,30.71,94,1006.21,1.70,24.5,25.0,000,25.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,09-14-2019,07:00:00,6.00,1008.00,20.60,30.32,96,986.99,0.00,24.3,23.2,000,25.0
