WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.00,07-25-2019,22:00:00,0.00,0.0,1009.87,88,23.8,0.00,29.50,1011.23,26.0,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,07-25-2019,22:00:00,0.00,0.0,1010.43,88,24.3,0.00,30.43,1011.32,26.5,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,07-25-2019,22:00:00,0.00,0.0,1008.03,93,25.4,0.00,32.46,1011.61,26.7,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,07-25-2019,22:00:00,0.00,0.0,1010.90,80,24.6,0.00,30.98,1011.33,28.5,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,07-25-2019,22:00:00,0.00,0.0,1009.83,81,23.9,0.00,29.69,1010.83,27.4,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,07-25-2019,22:00:00,0.00,5.6,1010.86,88,23.8,3.00,29.50,1011.68,26.0,110
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,07-25-2019,22:00:00,0.00,5.6,1009.91,88,24.4,0.00,30.62,1011.74,26.6,150
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,07-25-2019,22:00:00,0.00,5.6,1011.00,87,23.5,1.00,28.87,1011.76,25.8,230
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,07-25-2019,22:00:00,0.00,0.0,1007.84,94,24.2,1.40,30.15,1011.87,25.2,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,07-25-2019,22:00:00,0.00,0.0,1011.45,87,23.5,0.00,28.87,1012.14,25.8,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,07-25-2019,22:00:00,0.00,0.0,1010.43,95,23.9,22.20,29.69,1011.56,24.8,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,07-25-2019,22:00:00,0.00,0.0,1008.95,93,24.8,0.00,31.30,1011.89,26.1,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,07-25-2019,22:00:00,0.00,0.0,1010.85,85,24.9,0.00,31.44,1011.55,27.6,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,07-25-2019,22:00:00,0.00,0.0,1008.06,92,25.0,0.70,31.60,1012.21,26.4,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.00,07-25-2019,22:00:00,0.00,0.0,1010.54,84,24.1,0.30,30.02,1011.13,27.0,000
