WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,WindSpeed,LandVisibility,AirTemperature,WindDirection
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.80,07-25-2019,13:00:00,992.04,26.6,10.70,92,1007.99,34.81,0.0,6.00,28.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-25-2019,13:00:00,1004.56,24.3,0.00,63,1008.53,30.40,7.4,12.00,32.3,200
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.01,07-25-2019,13:00:00,999.38,23.0,1.20,63,1009.95,28.09,11.1,10.00,31.0,230
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-25-2019,13:00:00,1007.42,23.2,3.60,67,1009.33,28.37,7.4,10.00,30.0,170
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-25-2019,13:00:00,987.32,20.0,0.80,45,1007.74,23.44,20.4,12.00,33.7,250
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.01,07-25-2019,13:00:00,990.60,24.6,14.90,84,1008.25,30.97,11.1,10.00,27.5,220
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.10,07-25-2019,13:00:00,991.84,25.4,15.00,80,1007.89,32.38,5.6,10.00,29.2,220
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-25-2019,13:00:00,994.85,23.2,48.30,62,1008.70,28.51,9.3,10.00,31.5,270
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-25-2019,13:00:00,994.68,24.8,25.20,68,1009.32,31.35,0.0,8.00,31.5,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-25-2019,13:00:00,995.06,24.2,16.40,67,1009.57,30.25,0.0,10.00,31.1,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-25-2019,13:00:00,1005.80,20.6,0.00,46,1008.76,24.26,0.0,10.00,34.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-25-2019,13:00:00,1000.52,23.1,0.30,57,1008.33,28.28,13.0,10.00,32.8,210
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-25-2019,13:00:00,1008.90,22.4,14.60,61,1010.00,27.08,13.0,8.00,30.9,240
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-25-2019,13:00:00,992.84,23.6,15.20,77,1007.48,29.19,3.7,9.00,28.0,100
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.01,07-25-2019,13:00:00,874.39,19.8,17.00,98,1009.45,23.05,3.7,.10,20.1,180
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-25-2019,13:00:00,1003.25,21.7,7.40,54,1009.04,25.91,14.8,10.00,32.0,190
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-25-2019,13:00:00,1008.78,27.2,1.10,72,1009.57,36.12,7.4,12.00,33.0,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.01,07-25-2019,13:00:00,1009.04,25.1,2.50,75,1009.49,31.80,7.4,10.00,29.9,230
