WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,MeanSeaLevelPressure,MaximumTemperature,Rainfall
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.00,09-24-2019,19:00:00,5.6,77,983.69,24.12,0.00,140,24.8,20.5,1013.75,32.3,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-24-2019,19:00:00,0.0,57,1004.96,26.69,0.00,000,31.7,22.2,1012.19,35.7,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.00,09-24-2019,19:00:00,3.7,65,993.70,27.17,0.00,120,29.8,22.5,1013.53,33.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,09-24-2019,19:00:00,0.0,63,984.88,23.97,0.00,000,28.0,20.4,1013.58,32.7,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.00,09-24-2019,19:00:00,3.7,60,993.51,23.99,0.00,110,28.9,20.4,1013.67,32.3,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.00,09-24-2019,19:00:00,0.0,72,991.88,27.06,0.00,000,28.0,22.4,1013.66,32.3,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,8.00,09-24-2019,19:00:00,7.4,62,994.05,24.59,0.00,140,28.8,20.8,1013.53,32.5,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.00,09-24-2019,19:00:00,3.7,56,998.36,21.02,0.00,020,28.0,18.3,1015.17,33.6,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,09-24-2019,19:00:00,0.0,76,997.38,25.70,0.00,000,26.2,21.5,1014.96,34.2,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.00,09-24-2019,19:00:00,0.0,74,987.47,27.39,0.00,000,27.6,22.6,1013.34,32.4,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-24-2019,19:00:00,0.0,70,1006.46,30.74,0.00,000,30.5,24.5,1012.21,33.4,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,09-24-2019,19:00:00,0.0,78,1006.28,31.53,0.00,000,29.2,24.9,1012.46,33.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-24-2019,19:00:00,0.0,53,997.19,21.74,0.00,000,29.5,18.8,1013.59,34.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-24-2019,19:00:00,0.0,65,988.88,24.82,0.00,000,28.2,21.0,1011.20,32.6,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.00,09-24-2019,19:00:00,0.0,93,999.00,33.26,3.00,000,27.1,25.8,1013.47,33.0,3.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-24-2019,19:00:00,0.0,80,996.65,28.67,0.00,000,27.0,23.3,1013.13,32.4,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,8.00,09-24-2019,19:00:00,0.0,68,1007.77,28.53,0.00,000,29.8,23.3,1012.98,34.5,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-24-2019,19:00:00,0.0,56,998.32,24.48,0.00,000,30.5,20.8,1011.42,34.6,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,8.00,09-24-2019,19:00:00,0.0,77,1003.69,30.26,0.00,000,28.7,24.2,1013.02,32.5,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,09-24-2019,19:00:00,3.7,62,991.49,24.76,0.00,070,28.9,20.9,1013.16,33.1,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,09-24-2019,19:00:00,0.0,77,995.13,30.07,0.00,000,28.6,24.1,1012.63,34.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-24-2019,19:00:00,0.0,64,997.91,24.83,0.00,000,28.5,21.0,1013.77,33.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-24-2019,19:00:00,0.0,77,993.79,29.19,0.00,000,28.0,23.6,1012.72,32.5,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,09-24-2019,19:00:00,0.0,76,960.91,24.78,0.00,000,25.5,20.9,1012.44,30.2,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,09-24-2019,19:00:00,0.0,72,1008.48,30.70,0.00,000,30.2,24.5,1012.42,33.7,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.00,09-24-2019,19:00:00,5.6,90,918.13,23.64,0.00,020,21.9,20.2,1013.73,26.0,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-24-2019,19:00:00,0.0,74,997.23,28.22,0.00,000,28.2,23.1,1013.25,32.8,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.00,09-24-2019,19:00:00,0.0,79,1008.84,30.31,1.00,000,28.3,24.3,1012.88,32.8,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-24-2019,19:00:00,0.0,65,1003.06,25.35,0.50,000,28.5,21.3,1013.75,32.7,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,09-24-2019,19:00:00,0.0,74,1011.42,29.74,0.90,000,29.0,23.9,1013.35,32.1,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-24-2019,19:00:00,5.6,59,992.53,23.49,0.00,110,28.9,20.1,1013.39,32.1,0.00
