WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-03-2019,07:00:00,25.0,25.3,0.0,30.60,1009.13,0.00,1008.31,24.4,95,0.00,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.00,09-03-2019,07:00:00,24.6,24.8,0.0,30.22,1008.80,0.00,1006.97,24.2,97,0.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,09-03-2019,07:00:00,26.3,27.0,3.7,28.67,1008.41,0.00,1007.66,23.3,80,0.00,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.00,09-03-2019,07:00:00,23.3,25.2,3.7,30.69,1008.57,0.00,1004.55,24.5,96,0.00,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,09-03-2019,07:00:00,24.6,25.2,0.0,29.89,1008.44,0.00,1007.75,24.0,93,0.20,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.00,09-03-2019,07:00:00,23.9,25.0,0.0,29.52,1008.35,0.00,1007.23,23.8,93,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.00,09-03-2019,07:00:00,23.4,25.0,0.0,31.12,1008.76,0.00,1005.82,24.7,98,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,09-03-2019,07:00:00,25.3,25.7,0.0,31.90,1008.91,0.00,1008.22,25.1,97,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.00,09-03-2019,07:00:00,24.5,25.0,0.0,29.79,1009.23,0.00,1005.07,24.0,94,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,8.00,09-03-2019,07:00:00,.0,26.0,7.4,29.76,1009.00,0.00,1008.40,24.0,89,0.00,240
