WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,VaporPressure,DewPoint,WindSpeed,WindDirection
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-07-2019,13:00:00,1.40,12.00,58,1007.20,998.04,0.00,32.6,28.73,23.4,3.7,300
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-07-2019,13:00:00,8.40,10.00,69,1006.53,985.18,0.00,31.5,31.93,25.1,5.6,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-07-2019,13:00:00,1.00,12.00,64,1006.24,989.07,0.00,32.5,31.11,24.7,0.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-07-2019,13:00:00,3.10,12.00,67,1004.51,989.00,0.00,32.5,32.87,25.6,5.6,250
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-07-2019,13:00:00,0.40,10.00,64,1004.82,986.30,0.00,32.2,30.77,24.5,1.9,010
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-07-2019,13:00:00,18.20,9.00,79,1010.09,958.97,0.50,27.2,28.51,23.2,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-07-2019,13:00:00,3.10,10.00,64,1007.13,1003.24,0.00,32.1,30.57,24.4,7.4,170
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-07-2019,13:00:00,6.40,2.00,90,1007.78,913.22,1.60,23.5,25.92,21.7,18.5,230
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-07-2019,13:00:00,0.00,10.00,67,1006.07,990.33,0.00,31.4,30.57,24.4,7.4,280
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-07-2019,13:00:00,0.01,12.00,61,1007.16,1003.21,0.00,33.3,31.33,24.8,7.4,210
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-07-2019,13:00:00,4.00,8.00,65,1007.84,997.33,0.00,31.8,30.53,24.4,7.4,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-07-2019,13:00:00,7.90,12.00,61,1007.68,1005.78,0.00,32.0,29.22,23.7,11.1,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-07-2019,13:00:00,0.00,10.00,55,1006.82,986.35,0.00,32.8,27.44,22.6,16.7,230
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-07-2019,13:00:00,0.20,10.00,69,1005.83,988.45,0.00,31.4,31.72,25.0,11.1,210
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-07-2019,13:00:00,0.01,10.00,68,1005.73,989.85,0.00,32.0,32.10,25.2,0.0,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-07-2019,13:00:00,0.00,10.00,68,1006.61,992.77,0.00,31.2,30.73,24.5,11.1,300
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-07-2019,13:00:00,0.90,10.00,67,1006.92,992.34,0.00,32.1,32.02,25.2,5.6,240
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-07-2019,13:00:00,0.00,10.00,70,1007.03,992.57,0.00,31.5,32.52,25.4,9.3,200
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-07-2019,13:00:00,0.00,10.00,56,1006.87,1003.92,0.00,33.5,28.84,23.4,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-07-2019,13:00:00,5.20,7.00,85,1007.07,999.12,4.20,27.0,30.29,24.3,0.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-07-2019,13:00:00,0.00,8.00,61,1009.02,1007.92,0.00,31.9,28.74,23.4,11.1,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-07-2019,13:00:00,0.00,8.00,68,1006.28,991.88,0.00,32.8,33.83,26.1,7.4,210
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-07-2019,13:00:00,8.00,8.00,89,1008.10,874.09,0.00,22.2,23.87,20.3,14.8,280
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-07-2019,13:00:00,19.40,10.00,68,1007.43,1001.66,0.00,32.5,33.17,25.8,3.7,270
