WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,MaximumTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,DewPoint,VaporPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.02,09-08-2019,19:00:00,1004.71,27.5,0.0,34.7,3.20,3.20,90,000,10.00,25.8,33.21
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.96,09-08-2019,19:00:00,1004.70,27.0,0.0,33.9,0.10,0.10,87,000,8.00,24.7,31.11
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.94,09-08-2019,19:00:00,1005.05,29.0,0.0,32.0,0.00,0.00,86,000,7.00,26.5,34.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.71,09-08-2019,19:00:00,1004.13,28.4,0.0,35.6,0.00,0.00,85,000,13.00,25.6,32.75
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.03,09-08-2019,19:00:00,1005.27,28.8,0.0,36.1,0.00,0.01,79,000,10.00,24.8,31.29
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,983.90,09-08-2019,19:00:00,1003.52,30.0,5.6,35.3,0.00,0.00,77,230,12.00,25.5,32.59
48353,LOEI,เลย,เลย,17.45000,101.73333,975.84,09-08-2019,19:00:00,1004.09,30.0,5.6,35.0,0.00,0.00,65,290,12.00,22.7,27.55
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.54,09-08-2019,19:00:00,1004.61,27.6,9.3,34.7,0.01,0.01,84,190,10.00,24.6,30.89
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.25,09-08-2019,19:00:00,1004.70,30.0,0.0,34.5,0.00,0.00,79,000,12.00,25.9,33.46
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.75,09-08-2019,19:00:00,1003.98,30.0,3.7,34.3,0.00,0.00,80,180,15.00,26.1,33.75
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,988.04,09-08-2019,19:00:00,1004.59,29.7,0.0,34.0,0.01,0.01,80,000,12.00,25.9,33.41
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.70,09-08-2019,19:00:00,1004.95,29.0,0.0,32.9,0.00,0.40,89,000,12.00,26.9,35.46
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.89,09-08-2019,19:00:00,1003.60,26.5,5.6,35.7,28.40,28.40,92,110,11.00,25.1,31.79
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.66,09-08-2019,19:00:00,1005.38,30.0,0.0,35.0,0.00,0.00,75,000,10.00,25.0,31.72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.80,09-08-2019,19:00:00,1005.93,29.5,5.6,33.6,0.00,0.00,75,200,12.00,24.5,30.72
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.75,09-08-2019,19:00:00,1006.06,29.0,5.6,33.5,0.00,0.00,78,240,10.00,24.7,31.13
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.50,09-08-2019,19:00:00,1006.96,25.0,3.7,30.2,9.00,10.80,92,180,8.00,23.5,29.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.53,09-08-2019,19:00:00,1006.83,28.8,14.8,31.4,0.00,0.00,67,260,8.00,22.1,26.67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.70,09-08-2019,19:00:00,1005.93,29.5,0.0,34.0,0.00,0.00,65,000,12.00,22.1,26.62
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.77,09-08-2019,19:00:00,1005.94,30.0,0.0,34.2,0.00,6.20,68,000,10.00,23.5,28.91
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.90,09-08-2019,19:00:00,1005.02,28.0,0.0,34.2,4.60,4.60,88,000,8.00,25.7,33.08
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.47,09-08-2019,19:00:00,1005.69,29.8,3.7,33.3,0.00,0.00,69,320,13.00,23.6,29.08
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.18,09-08-2019,19:00:00,1004.85,26.5,1.9,34.0,28.00,28.20,94,180,10.00,25.5,32.63
