WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.81,08-01-2019,10:00:00,64,22.3,1006.03,7.4,26.91,0.00,130,5.60,12.00,29.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.19,08-01-2019,10:00:00,75,23.6,1004.73,9.3,29.14,0.00,230,7.00,10.00,28.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.64,08-01-2019,10:00:00,73,24.9,1004.92,20.4,31.48,0.00,250,7.00,12.00,30.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.68,08-01-2019,10:00:00,91,24.7,1004.51,5.6,31.13,2.00,240,50.00,8.00,26.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.11,08-01-2019,10:00:00,77,23.9,1003.85,11.1,29.57,0.00,200,1.20,10.00,28.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.22,08-01-2019,10:00:00,91,21.5,1006.88,0.0,25.60,0.50,000,14.50,10.00,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.15,08-01-2019,10:00:00,77,23.6,1006.09,13.0,29.19,0.00,110,2.90,10.00,28.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.75,08-01-2019,10:00:00,99,20.8,1006.99,13.0,24.61,0.10,200,31.30,.60,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.90,08-01-2019,10:00:00,84,24.9,1004.80,5.6,31.47,0.00,220,31.10,8.00,27.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.57,08-01-2019,10:00:00,80,24.8,1006.58,3.7,31.38,0.00,200,2.20,10.00,28.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.03,08-01-2019,10:00:00,74,23.4,1007.66,5.6,28.78,0.00,190,8.20,10.00,28.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.24,08-01-2019,10:00:00,73,23.1,1007.16,9.3,28.24,0.00,180,1.20,10.00,28.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.08,08-01-2019,10:00:00,68,21.6,1005.83,13.0,25.85,0.00,240,2.60,10.00,28.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.25,08-01-2019,10:00:00,80,23.2,1004.87,14.8,28.41,0.00,250,5.00,10.00,27.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.46,08-01-2019,10:00:00,77,22.6,1004.58,11.1,27.44,0.00,230,13.70,10.00,26.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.79,08-01-2019,10:00:00,70,22.3,1005.75,11.1,26.90,0.00,280,1.30,10.00,28.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,991.31,08-01-2019,10:00:00,76,23.2,1006.09,3.7,28.37,0.00,210,0.60,10.00,27.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.96,08-01-2019,10:00:00,78,23.2,1006.60,7.4,28.35,0.00,270,7.00,8.00,27.4
