WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,Rainfall,StationPressure,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,AirTemperature,MinimumTemperature
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.89,08-03-2019,07:00:00,25.36,0.00,976.39,0.0,77,10.00,1.80,000,21.3,25.7,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.56,08-03-2019,07:00:00,25.61,0.00,970.10,0.0,76,10.00,0.00,000,21.5,26.0,25.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.55,08-03-2019,07:00:00,28.26,0.00,985.08,7.4,85,15.00,1.10,270,23.1,25.9,25.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.96,08-03-2019,07:00:00,28.60,0.00,980.19,0.0,86,10.00,0.00,000,23.3,25.8,25.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1003.15,08-03-2019,07:00:00,28.37,0.00,973.20,0.0,92,8.00,0.00,000,23.2,24.5,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.53,08-03-2019,07:00:00,24.69,0.00,968.09,0.0,75,7.00,3.40,000,20.9,25.6,24.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.38,08-03-2019,07:00:00,24.79,0.00,971.90,0.0,70,15.00,0.00,000,21.0,27.0,26.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.32,08-03-2019,07:00:00,26.88,0.00,997.01,0.0,80,10.00,0.00,000,22.3,26.0,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1001.36,08-03-2019,07:00:00,28.61,0.00,981.61,5.6,78,12.00,0.00,250,23.3,27.4,27.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.39,08-03-2019,07:00:00,22.32,0.00,973.91,14.8,63,15.00,0.00,260,19.3,27.0,26.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1001.84,08-03-2019,07:00:00,26.74,0.00,981.78,3.7,76,15.00,0.00,210,22.2,26.8,26.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1002.35,08-03-2019,07:00:00,28.23,0.00,980.73,7.4,80,15.00,0.00,210,23.1,26.9,26.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1001.51,08-03-2019,07:00:00,27.08,0.00,982.12,11.1,77,15.00,0.00,270,22.4,26.7,26.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1002.40,08-03-2019,07:00:00,30.25,0.90,985.65,0.0,93,7.00,20.20,000,24.2,25.4,25.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1002.44,08-03-2019,07:00:00,28.67,0.10,985.02,0.0,88,9.00,1.60,000,23.3,25.4,23.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.34,08-03-2019,07:00:00,28.59,0.00,975.60,0.0,88,12.00,0.00,000,23.3,25.5,25.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.08,08-03-2019,07:00:00,24.20,0.01,998.30,22.2,71,10.00,0.40,240,20.6,26.2,23.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1004.33,08-03-2019,07:00:00,24.78,0.20,998.12,9.3,76,10.00,0.20,230,20.9,25.5,24.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.16,08-03-2019,07:00:00,24.96,0.00,987.76,0.0,71,10.00,0.00,000,21.1,26.8,26.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.07,08-03-2019,07:00:00,25.21,0.00,983.41,3.7,95,10.00,48.00,210,21.2,22.0,21.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.70,08-03-2019,07:00:00,21.78,0.00,991.28,20.4,65,8.00,0.00,270,18.9,25.9,25.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.92,08-03-2019,07:00:00,25.56,0.00,987.61,16.7,70,7.00,0.00,120,21.5,27.3,26.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.16,08-03-2019,07:00:00,28.81,0.40,999.90,0.0,93,10.00,2.90,000,23.4,24.6,23.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1003.12,08-03-2019,07:00:00,27.85,0.00,989.95,5.6,81,12.00,0.00,320,22.9,26.4,25.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.63,08-03-2019,07:00:00,24.53,0.01,995.31,0.0,71,11.00,0.40,000,20.8,26.4,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.02,08-03-2019,07:00:00,26.64,0.00,981.38,7.4,78,10.00,0.00,220,22.1,26.3,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.71,08-03-2019,07:00:00,25.98,0.00,986.27,22.2,72,10.00,0.00,220,21.7,27.1,25.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1001.84,08-03-2019,07:00:00,23.79,0.00,986.09,5.6,67,10.00,0.00,190,20.3,27.0,26.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1001.84,08-03-2019,07:00:00,27.40,0.00,982.99,11.1,82,10.00,0.00,260,22.6,26.0,25.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.29,08-03-2019,07:00:00,22.71,0.60,956.18,0.0,93,7.00,18.20,000,19.5,20.8,19.5
