WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindDirection,DewPoint,LandVisibility,StationPressure,MaximumTemperature,WindSpeed,AirTemperature,VaporPressure
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,66,07-10-2019,19:00:00,0.00,1006.51,0.00,000,23.8,10.00,998.67,32.8,0.0,31.0,29.48
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,67,07-10-2019,19:00:00,0.00,1006.62,0.00,210,24.7,7.00,1005.53,34.0,5.6,31.5,31.06
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,62,07-10-2019,19:00:00,0.50,1007.11,0.00,200,21.9,8.00,992.57,35.0,3.7,30.0,26.21
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},97,07-10-2019,19:00:00,0.30,1007.93,0.10,230,20.0,8.00,873.24,24.0,1.9,20.5,23.41
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,65,07-10-2019,19:00:00,0.00,1006.73,0.00,000,24.8,10.00,1000.96,35.4,0.0,32.3,31.27
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,79,07-10-2019,19:00:00,6.50,1008.01,0.01,300,25.6,8.00,1007.22,35.1,27.8,29.6,32.91
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,70,07-10-2019,19:00:00,17.00,1007.36,0.00,230,23.8,10.00,1006.92,31.8,11.1,29.9,29.55
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,81,07-10-2019,19:00:00,0.30,1008.80,0.20,000,23.9,6.00,997.50,32.5,0.0,27.5,29.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,63,07-10-2019,19:00:00,0.00,1007.30,0.00,000,24.1,10.00,1006.30,36.2,0.0,32.1,29.99
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,64,07-10-2019,19:00:00,0.00,1006.42,0.00,200,24.2,10.00,1004.62,34.5,3.7,31.9,30.16
