WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-28-2019,13:00:00,10.00,60,1006.03,23.3,0.0,32.0,000,989.87,0.00,28.66
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-28-2019,13:00:00,10.00,77,1005.65,23.6,5.6,28.0,270,983.44,1.10,29.19
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-28-2019,13:00:00,8.00,63,1006.59,23.1,14.8,30.9,270,992.40,0.00,28.17
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-28-2019,13:00:00,8.00,58,1005.54,23.7,0.0,33.0,000,989.50,1.70,29.25
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-28-2019,13:00:00,10.00,61,1005.60,24.1,11.1,32.5,280,1000.47,0.00,29.95
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-28-2019,13:00:00,12.00,76,1004.55,25.6,0.0,30.3,000,991.53,0.40,32.92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-28-2019,13:00:00,12.00,64,1005.80,24.6,5.6,32.4,020,996.65,4.70,30.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-28-2019,13:00:00,10.00,64,1004.82,24.7,3.7,32.4,120,983.56,6.30,31.19
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-28-2019,13:00:00,12.00,69,1005.00,25.7,11.1,32.0,240,987.82,1.90,32.99
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1.60,08-28-2019,13:00:00,11.00,84,1004.79,26.4,7.4,29.5,190,989.13,1.60,34.46
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-28-2019,13:00:00,10.00,59,1003.89,24.9,0.0,33.9,000,985.49,3.50,31.42
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-28-2019,13:00:00,11.00,73,1007.91,22.3,0.0,27.5,000,956.95,0.40,26.95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-28-2019,13:00:00,12.00,61,1005.69,23.7,0.0,32.2,000,1001.81,0.00,29.34
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,08-28-2019,13:00:00,5.00,95,1007.27,21.2,9.3,22.1,260,912.34,0.40,25.13
