WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-25-2019,16:00:00,994.19,53,0.0,33.5,6.00,0.00,000,27.43,22.6,1012.37,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-25-2019,16:00:00,990.50,47,0.0,32.5,10.00,0.00,000,23.10,19.8,1013.01,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-25-2019,16:00:00,983.60,60,0.0,31.5,12.00,0.00,000,27.68,22.8,1013.16,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-25-2019,16:00:00,978.94,64,0.0,30.2,8.00,1.80,000,27.39,22.6,1014.23,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-25-2019,16:00:00,982.86,60,7.4,32.1,13.00,0.00,080,28.86,23.4,1012.16,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-25-2019,16:00:00,1005.20,48,0.0,34.0,9.00,0.00,000,25.35,21.3,1012.37,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-25-2019,16:00:00,993.22,45,9.3,34.2,8.00,0.00,100,24.37,20.7,1012.75,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-25-2019,16:00:00,984.16,47,5.6,32.5,12.00,0.00,120,22.84,19.6,1012.42,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-25-2019,16:00:00,993.07,39,7.4,33.5,10.00,0.00,070,20.22,17.7,1012.92,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-25-2019,16:00:00,991.65,60,7.4,31.0,7.00,0.00,110,26.73,22.2,1013.20,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-25-2019,16:00:00,993.44,56,13.0,31.2,10.00,0.00,120,25.49,21.4,1012.75,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-25-2019,16:00:00,997.16,54,1.9,30.5,10.00,0.00,120,23.45,20.1,1013.82,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-25-2019,16:00:00,996.61,54,3.7,30.8,12.00,0.00,080,23.98,20.4,1013.91,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-25-2019,16:00:00,986.74,46,3.7,32.0,9.00,0.00,030,21.96,19.0,1012.22,0.00
