WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,WindDirection
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.0,08-09-2019,22:00:00,10.00,0.0,25.3,32.20,0.50,96,33.90,1002.15,984.52,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.1,08-09-2019,22:00:00,8.00,5.6,25.4,32.40,0.30,96,29.60,1002.05,985.93,180
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.8,08-09-2019,22:00:00,10.00,3.7,26.3,34.15,0.00,86,0.00,1002.02,988.14,110
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.2,08-09-2019,22:00:00,10.00,0.0,25.8,33.20,0.00,87,3.10,1002.96,988.25,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,08-09-2019,22:00:00,6.00,7.4,24.7,31.17,7.60,95,7.60,1002.97,988.29,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.2,08-09-2019,22:00:00,6.00,0.0,25.2,32.04,1.70,94,9.40,1003.32,1000.30,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.4,08-09-2019,22:00:00,8.00,0.0,24.8,31.33,0.00,91,4.10,1002.81,994.88,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.5,08-09-2019,22:00:00,5.00,5.6,24.8,31.25,12.80,96,19.40,1003.44,1002.33,090
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.2,08-09-2019,22:00:00,8.00,0.0,23.7,29.33,20.20,86,20.20,1004.88,990.18,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.6,08-09-2019,22:00:00,.10,3.7,19.4,22.57,64.80,99,65.80,1005.30,870.59,250
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.5,08-09-2019,22:00:00,10.00,7.4,25.1,31.79,0.00,92,8.40,1003.16,997.30,140
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.6,08-09-2019,22:00:00,8.00,5.6,25.6,32.84,0.00,89,9.70,1003.63,1002.84,080
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.3,08-09-2019,22:00:00,10.00,14.8,25.3,32.30,0.00,79,9.20,1003.29,1002.85,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.5,08-09-2019,22:00:00,4.00,0.0,24.8,31.25,1.00,96,9.80,1005.09,993.75,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.0,08-09-2019,22:00:00,10.00,0.0,25.6,32.77,0.00,92,1.00,1003.66,1002.66,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.0,08-09-2019,22:00:00,6.00,0.0,25.1,31.93,24.30,95,40.20,1003.48,1001.66,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.9,08-09-2019,22:00:00,6.00,0.0,23.2,28.47,0.00,76,2.00,1003.14,1002.38,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.4,08-09-2019,22:00:00,10.00,5.6,25.4,32.47,0.00,84,10.00,1003.98,1003.28,240
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.6,08-09-2019,22:00:00,4.00,5.6,24.7,31.17,21.30,95,21.60,1003.87,1003.17,260
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.7,08-09-2019,22:00:00,10.00,9.3,23.6,29.17,0.00,79,0.00,1003.14,982.12,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.6,08-09-2019,22:00:00,5.00,0.0,25.0,31.71,29.70,97,29.70,1004.41,987.66,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.2,08-09-2019,22:00:00,6.00,0.0,24.9,31.49,16.20,93,16.20,1003.68,987.26,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.8,08-09-2019,22:00:00,10.00,0.0,23.3,28.55,0.00,76,0.01,1002.69,980.98,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.5,08-09-2019,22:00:00,6.00,3.7,22.8,27.66,28.20,96,28.20,1004.40,960.78,260
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.3,08-09-2019,22:00:00,10.00,3.7,24.1,30.04,0.00,78,0.00,1002.82,982.44,210
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,08-09-2019,22:00:00,7.00,5.6,25.2,32.04,4.60,100,4.60,1004.57,983.69,130
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.7,08-09-2019,22:00:00,10.00,5.6,23.8,29.44,0.00,79,17.40,1003.80,1003.37,300
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.5,08-09-2019,22:00:00,6.00,0.0,23.8,29.41,7.00,96,7.40,1004.16,1002.74,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,28.2,08-09-2019,22:00:00,8.00,0.0,24.3,30.40,0.00,80,0.00,1003.54,998.64,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.0,08-09-2019,22:00:00,10.00,0.0,23.6,29.19,0.00,77,1.90,1003.96,1000.69,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.0,08-09-2019,22:00:00,10.00,3.7,23.6,29.19,0.00,77,2.60,1003.41,1002.31,260
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.7,08-09-2019,22:00:00,10.00,0.0,25.6,32.79,0.00,83,2.00,1003.69,1003.39,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.2,08-09-2019,22:00:00,10.00,0.0,25.8,33.20,0.00,87,1.30,1003.45,1002.96,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.3,08-09-2019,22:00:00,10.00,11.1,23.5,28.94,0.00,71,4.20,1004.17,1002.78,300
