WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,VaporPressure,LandVisibility,Rainfall24Hr,RelativeHumidity,DewPoint,MinimumTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,4.50,08-02-2019,07:00:00,9.3,26.66,5.00,56.70,94,22.1,22.4,1005.13,982.58,180,23.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-02-2019,07:00:00,11.1,25.55,5.00,2.80,72,21.4,25.0,1005.21,990.85,260,27.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-02-2019,07:00:00,0.0,26.95,7.00,0.50,73,22.3,25.5,1004.32,988.01,000,27.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-02-2019,07:00:00,0.0,29.00,10.00,2.50,92,23.5,24.1,1004.92,999.67,000,25.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-02-2019,07:00:00,0.0,27.25,12.00,5.20,91,22.5,23.3,1003.89,990.60,000,24.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,08-02-2019,07:00:00,0.0,29.08,9.00,4.40,92,23.6,24.5,1004.69,995.32,000,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-02-2019,07:00:00,7.4,26.69,10.00,0.20,84,22.2,24.0,1004.08,982.32,220,25.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-02-2019,07:00:00,11.1,29.00,10.00,0.00,92,23.5,24.5,1004.22,986.65,210,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-02-2019,07:00:00,5.6,29.91,10.00,25.00,92,24.0,25.2,1003.26,987.41,300,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-02-2019,07:00:00,5.6,27.70,10.00,0.00,88,22.8,24.5,1003.06,984.13,230,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-02-2019,07:00:00,0.0,25.93,7.00,22.90,95,21.7,22.0,1008.97,957.13,000,22.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-02-2019,07:00:00,11.1,29.25,7.00,4.20,94,23.7,24.0,1004.65,1000.67,090,24.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.30,08-02-2019,07:00:00,14.8,23.28,.60,30.70,99,19.9,19.4,1005.81,910.41,180,20.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-02-2019,07:00:00,5.6,26.93,8.00,0.00,87,22.3,24.1,1003.74,987.69,240,24.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-02-2019,07:00:00,7.4,28.75,10.00,0.20,89,23.4,25.0,1004.99,1000.94,180,25.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-02-2019,07:00:00,0.0,27.25,8.00,4.90,91,22.5,23.2,1006.66,995.88,000,24.0
