WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-10-2019,19:00:00,000,30.3,1002.22,990.00,10.00,26.3,92,24.9,0.20,7.70,31.41
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,5.6,08-10-2019,19:00:00,230,31.4,1001.94,1001.24,10.00,28.0,82,24.7,0.01,1.20,31.11
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,14.8,08-10-2019,19:00:00,230,32.7,1003.32,1000.91,10.00,29.0,73,23.6,0.01,0.60,29.19
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.1,08-10-2019,19:00:00,240,31.0,1002.61,1002.10,10.00,29.0,82,25.6,0.00,0.50,32.83
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,7.4,08-10-2019,19:00:00,260,31.5,1002.47,997.37,12.00,28.7,78,24.4,0.00,0.60,30.54
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.4,08-10-2019,19:00:00,190,31.0,1003.23,1002.82,7.00,28.5,81,24.9,0.70,13.10,31.54
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-10-2019,19:00:00,000,31.5,1003.84,1001.10,2.00,29.4,79,25.3,0.00,22.20,32.22
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-10-2019,19:00:00,000,30.5,1008.67,1007.89,10.00,27.5,82,24.2,0.50,4.50,30.15
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,08-10-2019,19:00:00,210,28.3,1004.41,1003.96,4.00,26.9,96,26.2,7.50,17.70,33.99
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,9.3,08-10-2019,19:00:00,270,31.4,1005.53,1004.85,4.00,24.9,94,23.9,7.00,12.80,29.61
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-10-2019,19:00:00,000,29.5,1005.82,1004.30,7.00,26.5,88,24.3,1.20,3.00,30.43
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,08-10-2019,19:00:00,220,29.0,1005.99,1005.07,10.00,27.2,84,24.2,0.20,10.80,30.12
