WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,LandVisibility,WindSpeed,VaporPressure,Rainfall,StationPressure,MeanSeaLevelPressure,AirTemperature,MaximumTemperature,WindDirection
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,14.70,07-30-2019,19:00:00,79,24.1,13.00,5.6,30.01,0.00,983.46,1003.48,28.0,30.8,290
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.60,07-30-2019,19:00:00,85,25.1,12.00,0.0,31.95,0.00,981.92,1003.48,28.0,31.3,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.60,07-30-2019,19:00:00,79,24.8,12.00,0.0,31.29,0.00,983.18,1002.45,28.8,30.7,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,8.70,07-30-2019,19:00:00,83,25.1,12.00,0.0,31.79,0.00,986.68,1003.29,28.2,30.4,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.70,07-30-2019,19:00:00,91,26.0,10.00,0.0,33.70,0.00,986.06,1003.36,27.6,31.5,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.60,07-30-2019,19:00:00,87,25.6,9.00,0.0,32.80,0.00,977.31,1002.88,28.0,30.6,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.10,07-30-2019,19:00:00,64,23.1,10.00,9.3,28.26,0.00,997.11,1002.80,30.8,36.1,240
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.10,07-30-2019,19:00:00,62,22.7,10.00,9.3,27.52,0.00,997.08,1003.17,30.7,35.0,270
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.20,07-30-2019,19:00:00,68,23.3,10.00,0.0,28.64,0.00,987.63,1003.85,30.0,33.2,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.60,07-30-2019,19:00:00,86,21.7,10.00,3.7,25.92,1.40,983.70,1006.21,24.1,30.3,220
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-30-2019,19:00:00,65,20.5,10.00,16.7,24.14,0.00,991.15,1005.48,27.8,34.5,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-30-2019,19:00:00,62,22.4,7.00,14.8,27.14,0.00,988.53,1004.69,30.5,35.5,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,11.20,07-30-2019,19:00:00,55,21.7,10.00,14.8,25.99,0.00,998.10,1003.22,31.9,35.0,270
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-30-2019,19:00:00,67,23.7,12.00,0.0,29.25,0.00,989.15,1002.13,30.6,34.3,000
