WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,LandVisibility,Rainfall,VaporPressure,MinimumTemperature,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.6,09-22-2019,07:00:00,0.0,0.00,97,8.00,0.00,27.49,22.5,23.1,000,990.19,1012.30
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.9,09-22-2019,07:00:00,3.7,0.00,82,6.00,0.00,26.27,23.4,25.2,110,992.25,1011.94
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.1,09-22-2019,07:00:00,0.0,0.00,85,5.00,0.00,26.60,23.7,24.8,000,995.81,1012.77
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.3,09-22-2019,07:00:00,0.0,0.00,87,7.00,0.00,26.84,21.5,24.5,000,995.34,1012.99
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.8,09-22-2019,07:00:00,0.0,0.00,96,8.00,0.00,27.66,23.0,23.5,000,985.47,1011.65
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.1,09-22-2019,07:00:00,0.0,16.80,99,8.00,0.00,31.96,24.2,25.3,000,1005.92,1011.77
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,09-22-2019,07:00:00,0.0,6.60,97,12.00,0.00,30.85,24.5,25.0,000,1005.64,1011.90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.1,09-22-2019,07:00:00,0.0,0.00,89,10.00,0.00,28.22,24.5,25.0,000,996.02,1012.66
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,09-22-2019,07:00:00,3.7,9.30,94,10.00,0.00,28.89,23.8,24.5,090,987.23,1009.79
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.8,09-22-2019,07:00:00,0.0,7.10,96,5.00,0.00,29.41,23.6,24.5,000,998.51,1013.11
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.4,09-22-2019,07:00:00,0.0,16.80,99,6.00,0.00,28.85,23.4,23.6,000,995.64,1012.29
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.1,09-22-2019,07:00:00,0.0,11.00,95,10.00,0.00,30.05,24.6,25.0,000,1006.83,1012.11
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.5,09-22-2019,07:00:00,0.0,0.00,92,10.00,0.00,29.00,24.5,25.0,000,995.53,1008.84
