WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-24-2019,10:00:00,85,3.30,25.9,35.60,1007.87,6.00,190,23.3,3.7,28.52,985.46
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-24-2019,10:00:00,76,1.10,27.8,2.30,1009.26,10.00,280,23.3,7.4,28.55,994.88
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-24-2019,10:00:00,86,1.80,27.0,2.00,1008.88,6.00,000,24.4,0.0,30.56,992.47
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-24-2019,10:00:00,85,1.20,28.0,1.20,1008.83,10.00,180,25.1,5.6,31.95,1003.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-24-2019,10:00:00,84,3.00,27.7,4.60,1007.37,10.00,090,24.8,5.6,31.36,994.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-24-2019,10:00:00,88,2.10,28.0,2.90,1008.66,10.00,270,25.9,5.6,33.37,999.36
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-24-2019,10:00:00,88,1.60,27.1,1.60,1008.38,8.00,000,24.9,0.0,31.58,986.68
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-24-2019,10:00:00,83,0.01,28.7,0.50,1008.69,10.00,000,25.6,0.0,32.79,991.26
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-24-2019,10:00:00,92,0.60,26.0,15.10,1007.76,12.00,180,24.6,3.7,30.84,991.87
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-24-2019,10:00:00,90,0.20,28.5,1.60,1007.50,8.00,000,26.7,0.0,34.99,988.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-24-2019,10:00:00,90,3.50,25.0,5.00,1008.42,10.00,000,23.2,0.0,28.48,957.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-24-2019,10:00:00,70,0.10,30.2,0.10,1008.19,8.00,000,24.2,0.0,30.14,1004.27
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-24-2019,10:00:00,90,1.70,21.5,12.50,1009.26,7.00,280,19.8,5.6,23.05,913.95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-24-2019,10:00:00,88,0.00,28.7,22.50,1007.88,8.00,000,26.5,0.0,34.53,991.97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-24-2019,10:00:00,65,0.01,31.7,0.01,1008.41,10.00,270,24.4,5.6,30.61,1004.43
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-24-2019,10:00:00,65,0.00,31.4,0.00,1009.12,8.00,190,23.9,3.7,29.72,998.57
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-24-2019,10:00:00,66,0.00,32.0,0.00,1009.08,10.00,150,24.9,3.7,31.52,1007.18
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-24-2019,10:00:00,64,0.00,29.6,0.01,1008.27,10.00,280,22.1,13.0,26.54,987.56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-24-2019,10:00:00,83,0.00,29.3,3.50,1007.62,10.00,000,26.1,0.0,33.74,990.08
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-24-2019,10:00:00,81,0.00,29.5,5.60,1007.50,10.00,180,26.0,9.3,33.58,991.47
