WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,WindDirection,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,WindSpeed,MeanSeaLevelPressure,LandVisibility
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.9,09-14-2019,19:00:00,27.6,000,0.00,24.3,0.20,30.34,82,975.96,0.0,1005.50,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,36.5,09-14-2019,19:00:00,30.0,000,0.00,24.3,0.00,30.31,71,997.32,0.0,1004.54,11.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.6,09-14-2019,19:00:00,31.4,000,0.00,26.2,0.40,34.08,74,985.38,0.0,1004.94,14.00
48353,LOEI,เลย,เลย,17.45000,101.73333,34.7,09-14-2019,19:00:00,30.0,100,0.00,23.2,0.70,28.37,67,977.11,3.7,1005.40,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.3,09-14-2019,19:00:00,30.1,000,0.00,25.0,0.20,31.64,74,985.55,0.0,1005.47,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,33.2,09-14-2019,19:00:00,29.0,000,0.00,26.2,0.00,33.99,85,984.64,0.0,1006.19,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.9,09-14-2019,19:00:00,29.7,000,0.00,25.2,0.00,31.97,77,985.93,0.0,1005.19,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,34.0,09-14-2019,19:00:00,30.0,000,0.00,25.6,0.00,32.88,78,989.61,0.0,1006.17,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.2,09-14-2019,19:00:00,28.5,000,0.00,24.2,0.00,30.15,78,989.28,0.0,1006.59,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,33.2,09-14-2019,19:00:00,28.8,000,0.00,24.8,0.00,31.29,79,979.99,0.0,1005.56,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.8,09-14-2019,19:00:00,28.8,000,0.00,26.0,0.50,33.57,85,999.20,0.0,1004.94,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.4,09-14-2019,19:00:00,27.5,000,0.00,25.4,0.00,32.36,88,999.20,0.0,1005.37,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,35.5,09-14-2019,19:00:00,31.0,000,0.00,23.8,1.40,29.48,66,989.45,0.0,1005.65,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,34.0,09-14-2019,19:00:00,27.0,000,7.00,24.8,8.20,31.38,88,982.15,0.0,1004.41,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,35.2,09-14-2019,19:00:00,31.2,000,0.00,26.3,0.00,34.24,75,991.61,0.0,1005.78,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,34.2,09-14-2019,19:00:00,30.4,000,0.00,24.9,0.20,31.39,72,988.74,0.0,1004.90,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.7,09-14-2019,19:00:00,26.5,050,6.30,25.1,10.90,31.79,92,1000.67,7.4,1005.90,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.9,09-14-2019,19:00:00,28.9,000,0.00,25.1,4.00,31.77,80,990.83,0.0,1003.90,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,34.7,09-14-2019,19:00:00,31.0,190,0.00,25.4,0.00,32.34,72,996.13,3.7,1005.31,14.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.3,09-14-2019,19:00:00,29.7,000,0.00,24.7,0.00,31.12,75,984.20,0.0,1005.66,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.8,09-14-2019,19:00:00,30.0,000,0.00,25.3,0.00,32.30,76,988.64,0.0,1005.95,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.1,09-14-2019,19:00:00,26.0,000,3.20,23.8,3.20,29.50,88,989.92,0.0,1005.79,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.0,09-14-2019,19:00:00,29.5,000,0.00,26.1,0.40,33.87,82,986.18,0.0,1004.87,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,31.3,09-14-2019,19:00:00,24.0,000,26.40,22.5,29.40,27.25,91,954.51,0.0,1005.96,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.7,09-14-2019,19:00:00,28.4,000,0.90,24.8,0.90,31.34,81,1001.44,0.0,1005.37,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,28.3,09-14-2019,19:00:00,23.3,050,0.00,22.1,0.50,26.58,93,912.48,5.6,1007.03,8.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.8,09-14-2019,19:00:00,27.5,000,0.40,26.4,11.40,34.36,94,989.59,0.0,1005.52,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,36.0,09-14-2019,19:00:00,30.6,000,0.00,26.0,0.30,33.55,76,1000.98,0.0,1004.96,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,34.2,09-14-2019,19:00:00,29.8,000,0.00,25.9,5.50,33.33,79,995.98,0.0,1006.55,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.5,09-14-2019,19:00:00,29.7,150,0.00,25.9,12.70,33.41,80,1003.95,3.7,1005.86,9.00
